login; location; place; followers; contributions; stars; user_stars; language
dariosky;Malaga, Spain;Málaga;1;128;1;16;CSS
fjruizruano;Granada, Spain;Granada;2;128;6;9;Python
amorag;Granada, Spain;Granada;3;127;0;0;
raiben;Granada;Granada;5;127;5;1;Java
IsmiKin;Torremolinos, Málaga;Málaga;5;126;2;55;JavaScript
ernesmb;Almería;Almería;0;126;0;4;HTML
i32petoj;Córdoba, Spain;Córdoba;15;126;0;3;Java
jrfern;Málaga;Málaga;2;125;0;6;Python
eiriarte;Seville (Spain);Sevilla;0;124;0;38;JavaScript
marhs;Seville, Spain;Sevilla;3;124;4;8;Python
arandaio;Córdoba, España;Córdoba;22;124;0;379;Shell
leolara;Malaga, Spain;Málaga;22;123;3;13;JavaScript
lammoth;Seville, Spain;Sevilla;11;122;7;23;JavaScript
tuxskar;Marbella, Málaga, Spain;Málaga;31;122;20;61;Python
LuqueDaniel;Córdoba - Spain;Córdoba;4;121;25;76;Python
franlu;Granada, Spain;Granada;11;120;1;17;Python
oskyar;Granada;Granada;9;119;6;8;CSS
joscani;Córdoba, Spain;Córdoba;3;118;1;11;R
OdeiRZ;Linares;Jaén;3;118;0;1;PHP
diegobechi;Córdoba;Córdoba;0;116;0;0;CSS
Abrahanfer;Cádiz(Spain);Cádiz;9;115;3;52;JavaScript
Thraxs;Seville, Spain;Sevilla;1;114;0;0;C#
felgari;Seville, Spain;Sevilla;1;114;0;2;Python
bluezio;Cádiz, Spain;Cádiz;13;114;152;55;Java
juanderuiz;Málaga, Spain;Málaga;0;113;0;0;Ruby
n0ni0;Chiclana de la Frontera;Cádiz;2;113;0;5;PHP
erseco;Granada, Spain;Granada;31;113;6;55;C++
msmaldonado;Granada;Granada;6;113;1;0;
soasada;Málaga - Spain;Málaga;4;112;1;0;HTML
i32ropie;Cordoba, Spain.;Córdoba;7;112;0;1;C++
jesusr;Seville, Spain;Sevilla;5;110;0;22;JavaScript
albertomoreno;Granada, Spain;Granada;3;110;3;8;Shell
ualmtorres;Almería, Spain;Almería;5;110;1;0;PHP
sigdeletras;Córdoba (spain);Córdoba;3;109;2;2;CSS
fran;Sevilla;Sevilla;30;109;12;23;JavaScript
Crixo24;Granada;Granada;4;109;0;2;C#
Arasthel;Almería, España;Almería;50;109;579;50;Java
melchor629;Málaga, Spain;Málaga;4;108;8;620;JavaScript
zombites;Sevilla, Andalucía;Andalucía;1;108;0;3;CSS
yonatan24891;Granada, Spain;Granada;0;108;1;1;Shell
JArandaIzquierdo;Granada (Spain);Granada;8;107;0;4;Java
JuanLuisGarciaBorrego;Estepa (Sevilla);Sevilla;6;106;2;93;CSS
dcasasmol;Puerto Real (Cádiz);Cádiz;1;105;6;2;Python
RicardoRodriguezArg;Cordoba;Córdoba;1;103;0;0;C++
pedropena;Jaén, Spain;Jaén;6;102;12;5;C
jpgriffo;Seville, Spain;Sevilla;5;101;3;76;Go
JCEntrena;Granada;Granada;10;101;4;5;TeX
Valencia1904;Sevilla;Sevilla;16;101;0;0;Python
javiergalloj;Los Palacios y Vfca (Sevilla);Sevilla;9;99;0;0;Python
fjcarreterox;Seville, Spain;Sevilla;3;99;0;3;PHP
angajime;Vélez-Málaga;Málaga;6;99;0;45;CSS
ramon-rd;Granada;Granada;2;99;3;2;Java
jantequera;Seville;Sevilla;17;99;0;71;Ruby
IsabelTenar;Granada, España;Granada;7;98;2;0;CSS
antoniovm;Almería, España;Almería;5;98;1;4;Java and JavaScript
fjtorres;Sanlúcar de barrameda (España);Cádiz;1;97;1;21;CSS
Alayala;Granada, España;Granada;3;97;0;1;Shell
ricpelo;Sanlúcar de Barrameda (Cádiz);Cádiz;9;97;20;15;C
KashaMalaga;Málaga, Spain;Málaga;9;97;99;1;Shell
dlazaro66;Granada;Granada;18;97;415;42;Java
LuisGonzalez2014;Granada;Granada;1;94;1;0;C# and Java
MarFerPra;Granada;Granada;2;93;0;0;Shell
Rubenmp;Granada;Granada;1;92;0;0;
Angelmmiguel;Sevilla;Sevilla;8;92;16;35;Java
dramirezt;Málaga;Málaga;2;91;1;7;Python and R
MarcosJF;Granada (España);Granada;0;91;0;0;Shell
alejandronb;Sevilla;Sevilla;15;91;0;0;Python
AlbertFX91;Seville;Sevilla;0;91;1;1;PHP
VictorCoronas;Granada, Spain;Granada;2;91;0;3;Python
ciherraiz;Granada Spain;Granada;0;91;2;1;Python
nochemax;Cadiz España;Cádiz;1;90;3;2;Arduino
danmarcab;Cádiz, Spain;Cádiz;2;90;2;1;Ruby
edupg1;Granada (Spain);Granada;3;90;0;0;Java
MatiPruvost;Córdoba;Córdoba;0;89;3;4;Python
JA-Gonz;Granada;Granada;2;87;0;0;Shell and Python
jemole;Sevilla & Madrid, Spain;Sevilla;3;87;5;2;Shell
pedrazamiguez;Seville, Spain;Sevilla;0;85;0;0;Java
Darhen89;Jerez de la Frontera;Cádiz;0;85;0;0;HTML
drubioa;Puerto Real;Cádiz;0;85;0;0;Java
pablogsal;Granada, Spain;Granada;3;84;0;8;Python
FranFT;Granada, Spain;Granada;1;84;0;1;Java
Georgevik;Granada;Granada;1;83;0;0;Python
lingo;Granada, Spain.  Previously in Brighton, UK, Bilbao, Euskadi / España, Chiapas, México and New Zealand;Granada;16;83;76;39;JavaScript
currix;Huelva (Spain);Huelva;1;83;3;2;Perl
ajnebro;Málaga (Spain);Málaga;13;82;0;1;Java
Ariacus;Granada, Spain.;Granada;6;82;0;2;Shell
gloob;Sevilla, Spain;Sevilla;36;82;66;57;C
IvanJMembrilla;Almería, Spain;Almería;0;82;0;0;ASP
pjmolina;Seville, Spain;Sevilla;2;81;1;9;JavaScript
unsegnor;Granada, Spain;Granada;2;81;1;13;Java
pedroparra;Cordoba;Córdoba;3;81;1;113;JavaScript
rafaharo;Seville;Sevilla;16;81;4;48;Java
Nerian;Seville, Spain;Sevilla;26;78;925;298;Ruby
crayfishx;Málaga, Spain;Málaga;33;78;201;21;Puppet
franjial;Córdoba;Córdoba;1;78;0;14;Arduino
jjdenis;Málaga, Spain;Málaga;1;77;1;1;Python
zerasul;Almeria;Almería;7;77;2;5;Java
BLL75;Málaga;Málaga;4;76;2;3;PHP
SeHarrys;Granada;Granada;1;76;0;33;Perl
sigcorporativo-ja;Sevilla, España;Sevilla;2;75;0;0;HTML
adperezmorales;Seville;Sevilla;14;75;34;10;JavaScript
christian-cl;Málaga;Málaga;0;75;0;0;Java
cjferba;Granada;Granada;4;75;10;13;Python
molocohb;Granada (Granada);Granada;4;75;0;0;CSS
dodero;Cádiz;Cádiz;3;73;0;3;CSS
ranea;Granada, Spain;Granada;9;73;2;1;C++
rafaelxavi;Málaga, Spain;Málaga;5;73;0;1;JavaScript and CSS
Ciorraga;Jaén, Andalucía, España;Andalucía;3;73;1;1;PHP
RNogales94;Granada, Spain;Granada;15;72;1;12;Java
alfonsito92;Granada;Granada;1;72;0;0;Java
ssoto;Seville, Andalusia (Spain);Andalucía;15;71;0;75;Shell
ssuria;Madrid, Sevilla;Sevilla;0;71;0;0;
MGautier;Granada, Spain;Granada;2;71;0;0;Java
chelu;Seville, Spain;Sevilla;1;71;17;9;Java
