login; location; place; followers; contributions; stars; user_stars; language
martinproject;Tarragona, Spain;Tarragona;7;2;16;184;JavaScript
mbernet;Barcelona;Barcelona;0;1;0;0;ApacheConf
rafalaguna;Barcelona;Barcelona;4;1;2;41;Python
emink92;Barcelona;Barcelona;4;1;0;87;JavaScript
Quimera996;Barcelona;Barcelona;0;1;0;2;Go
alfonsserra;Barcelona;Barcelona;0;1;0;0;
jonroura;Barcelona;Barcelona;0;1;0;1;CSS and JavaScript
ErnestRoca;Barcelona;Barcelona;3;1;0;0;Java
oriolqc;Barcelona, Catalona;Barcelona;0;1;0;0;
keyser25bis;Barcelona;Barcelona;0;1;0;0;
szamriy;Barcelona;Barcelona;0;1;1;7;C#
libove;Barcelona, Spain;Barcelona;0;1;0;0;
AlexKryzh;Barcelona;Barcelona;0;1;0;2;
pipsApp;Barcelona;Barcelona;0;1;0;0;Java
ClaraOrtiMoles;Barcelona;Barcelona;0;1;0;1;
thirthree;Barcelona;Barcelona;0;1;0;8;CSS
Vithozor;Barcelona;Barcelona;0;1;0;0;HTML and JavaScript
tcz;Barcelona, Spain;Barcelona;36;1;207;113;PHP
iconpin;Barcelona;Barcelona;20;1;16;412;Ruby
PabloReyes;Barcelona, Spain;Barcelona;2;1;3;3;CSS
OriolLopezMassaguer;Barcelona;Barcelona;3;1;0;24;
oriolblanc;Barcelona;Barcelona;38;1;38;68;Objective-C
carlaprz;Barcelona, Spain;Barcelona;0;1;0;0;ApacheConf
sfoix;Barcelona, Catalunya;Barcelona;3;1;1;3;C++
dartiga;Barcelona;Barcelona;0;1;0;0;CSS
karimRS;Barcelona;Barcelona;0;1;0;0;CSS
mfonolleda;Barcelona;Barcelona;0;1;0;0;
doxrealm;Barcelona;Barcelona;0;1;0;5;CSS
jtacon;Barcelona;Barcelona;0;1;0;0;
framirezl;Barcelona;Barcelona;0;1;0;0;
Miriam-WG;Barcelona;Barcelona;1;1;0;0;
izurdo;Barcelona;Barcelona;1;1;0;0;
MetalMor;Barcelona;Barcelona;1;1;0;0;CSS
Necrontyrr;Barcelona, Spain;Barcelona;0;1;0;4;
martias;Barcelona;Barcelona;1;1;0;0;C
gerardpastor;Barcelona;Barcelona;2;1;0;2;PHP
LinJuuichi;Barcelona, Catalonia;Barcelona;2;1;0;4;Java
Skuerzo;Barcelona;Barcelona;2;1;0;0;Java and R
ql4b;Barcelona, Spain;Barcelona;1;1;0;83;PHP
marcostvz;Barcelona;Barcelona;0;1;1;8;CSS
daniure;Barcelona;Barcelona;0;1;1;1;PHP
Carlos-Luna;Barcelona;Barcelona;0;1;0;26;
jotaemi;Barcelona;Barcelona;1;1;0;0;CSS
jasuca;Barcelona;Barcelona;15;1;18;362;Python
sibok;Barcelona;Barcelona;1;1;1;7;
hectorfuster;Barcelona;Barcelona;0;1;0;0;
damaris;Barcelona;Barcelona;0;1;0;0;
mixmastertube;Barcelona;Barcelona;2;1;0;13;Objective-C
Xoubaman;Barcelona;Barcelona;0;1;0;1;
rtellez99;Barcelona;Barcelona;0;1;0;0;
matalaaranya;Barcelona;Barcelona;1;1;1;11;Perl and Shell
ashish021;Barcelona, Spain;Barcelona;1;1;0;0;
gdecandia;Barcelona;Barcelona;7;1;0;0;Python
natalitique;Barcelona, Spain;Barcelona;1;1;0;0;CSS
byGui;Barcelona, Spain;Barcelona;7;1;2;121;JavaScript
theThingsIO;Barcelona;Barcelona;8;1;0;1;
armandogmendoza;Barcelona;Barcelona;1;1;0;0;C#
Jeffarese;Barcelona;Barcelona;1;1;0;0;HTML
javier-castan;Barcelona;Barcelona;0;1;0;1;
arcadio-pando;Barcelona;Barcelona;1;1;0;0;Go
cajimhe;Barcelona;Barcelona;2;1;2;11;JavaScript
develoup;Barcelona-London;Barcelona;0;1;0;0;
jmventar;Barcelona;Barcelona;1;1;0;14;CSS
tukaaa;Barcelona, Spain;Barcelona;1;1;0;2;
expositomarc;Barcelona;Barcelona;14;1;0;5;Swift
carnau;Barcelona;Barcelona;1;1;0;2;CSS
PixelNoc;Barcelona, Catalonia, Spain;Barcelona;0;1;0;0;
dyunk;Les Franqueses del Vallès (Barcelona);Barcelona;1;1;0;1;CSS
cocavet;Barcelona;Barcelona;0;1;0;0;JavaScript
Hark0;Cornella de Llobregat, Barcelona;Barcelona;0;1;0;0;C and Objective-C
bunkenburg;Barcelona;Barcelona;1;1;6;6;Java and Shell
davidpenya;Barcelona (Spain);Barcelona;0;1;0;0;
tSoniq;Barcelona, España;Barcelona;0;1;24;0;C
jantonsg;Barcelona;Barcelona;0;1;0;1;JavaScript
Ryuz3n;Barcelona;Barcelona;0;1;2;5;Python
