login; location; place; followers; contributions; stars; user_stars; language
demiurgosoft;Granada,Spain;Granada;28;1012;10;7;JavaScript
joaquinferrero;Valladolid, Spain;Valladolid;3;1011;1;1;Perl
oesteban;Madrid;Madrid;8;1010;5;13;Python
Ecuacion;Spain;España;7;1005;21;16;JavaScript
aesedepece;Málaga, Spain;Málaga;37;994;8;53;JavaScript
sergiopasra;Madrid;Madrid;1;990;1;20;Python
ctubio;Barcelona, Catalonia;Barcelona;1;988;4;13;Shell
rogergros;Barcelona, Spain;Barcelona;11;985;0;14;PHP
adrianmo;Spain;España;16;981;10;40;Ruby
voodoorai2000;Spain;España;53;975;46;71;Ruby
OpenSPA;Spain;España;6;975;5;0;Python
jsierles;Sevilla, Spain;Sevilla;129;974;367;137;Ruby
gradha;Spain;España;31;970;195;441;Objective-C
ecarreras;Girona;Gerona;34;967;39;839;Python
jcagarcia;Valencia, Spain;Valencia;29;964;2;12;CSS
jespino;Madrid, Spain;Madrid;108;963;174;214;Python
josejuansanchez;Almería;Almería;23;960;63;89;JavaScript
josepramon;Catalunya;Catalunya;1;960;0;7;JavaScript
erral;Eibar, Gipuzkoa, Basque Country;Donostia;9;957;17;45;Python
clintongormley;Barcelona, Spain;Barcelona;192;956;94;41;Perl
M42;Granada, Spain;Granada;54;948;32;80;Shell
gorkalaucirica;Bilbao;Bilbao;8;948;67;77;PHP
danielguillan;Barcelona;Barcelona;45;937;663;388;CSS
mcuadros;Madrid, Spain;Madrid;67;937;1098;216;Go
lmorillas;Zaragoza, Spain;Zaragoza;8;936;8;55;Python
aplanas;Málaga, Spain;Málaga;4;926;2;34;Shell
acelaya;Zaragoza;Zaragoza;44;926;86;217;PHP
jonsy;Madrid es;Madrid;0;925;0;0;
amatriain;Pamplona;Navarra;2;923;56;8;Ruby
ibc;Bilbao & Madrid;Bilbao;67;923;146;77;JavaScript
dasilvacontin;Barcelona, Spain;Barcelona;84;923;33;588;JavaScript
danigb;seville, spain;Sevilla;18;921;78;254;JavaScript
fdavidcl;Granada, Spain;Granada;42;916;32;160;Makefile
e0ipso;Ca'n Picafort, Mallorca, Spain;Baleares;42;915;99;20;PHP
migue;Madrid;Madrid;38;914;62;64;Java
Kartones;Madrid, Spain;Madrid;29;910;4;2;Ruby
mancas;Madrid;Madrid;1;905;0;0;JavaScript
mdelapenya;Madrid, Toledo (Spain);Madrid;15;898;17;16;Java
AD7six;Spain;España;413;893;139;94;PHP
est77;Madrid;Madrid;34;893;16;97;C++
matallo;Madrid, ES;Madrid;27;892;7;172;JavaScript
alvaroabascar;Barcelona;Barcelona;10;880;4;46;Python
laughedelic;Spain, Granada;Granada;41;875;115;633;Scala
juanfran;Madrid;Madrid;27;872;106;57;JavaScript
izaera;Madrid, Spain;Madrid;15;862;30;18;CSS
ebarra;Madrid;Madrid;18;862;3;16;JavaScript
tifayuki;Madrid;Madrid;37;860;13;11;Shell
Foxandxss;Cádiz, Spain;Cádiz;137;860;980;102;JavaScript
andresgnlez;Madrid / Málaga;Madrid;0;857;0;2;JavaScript
alex94puchades;Spain;España;2;856;19;5;JavaScript
vegaro;Madrid, Spain;Madrid;7;852;3;22;JavaScript
jlblancoc;Almeria (Spain);Almería;45;847;139;112;CMake
fermayo;Madrid, Spain;Madrid;30;846;5;28;Shell
tombatossals;Castelló de la Plana;Castellón;88;844;181;215;JavaScript
ljmanso;Extremadura;Extremadura;5;839;2;6;Python
lronaldo;Alicante;Alicante;8;836;25;15;Makefile
pablopareja;Granada, Spain;Granada;30;825;47;65;Java
camposer;Madrid/España;Madrid;26;822;17;11;Java
sertansenturk;Barcelona, Spain;España;3;820;1;1;Python
monday8am;Madrid;Madrid;17;817;32;50;C#
anserran;Madrid, Spain;Madrid;3;816;5;7;Java
msune;Barcelona / US;Barcelona;4;814;5;3;Shell
aldatsa;Usurbil, Gipuzkoa (EH);Donostia;9;811;2;49;Shell
frbattid;Spain;España;3;809;0;7;Shell
jkappler;Madrid, Spain;Madrid;2;805;0;0;HTML
rafinskipg;Madrid;Madrid;47;803;80;172;JavaScript
yosymfony;Granada, Spain;Granada;23;798;56;177;PHP
pepone;Spain;España;2;793;2;41;Shell
freecates;Barcelona;Barcelona;0;786;0;27;JavaScript
xispa;Barcelona;Barcelona;14;782;0;7;CSS
erikras;Spain;España;87;777;784;25;JavaScript
ichinaski;Barcelona;Barcelona;6;775;48;108;Go
xexiu;Barcelona;Barcelona;8;769;2;7;JavaScript
vmayoral;Spain;España;86;769;51;218;Python
JaimeMartin;Ronda del Poniente 16 BJ-K, 28760, Tres Cantos, Spain;España;0;767;0;0;
mayhem;Barcelona, Spain;Barcelona;44;762;27;29;Python
ivanortegaalba;Granada, Jaén, Spain;Granada;23;758;4;16;CSS
eferro;Madrid;Madrid;19;754;8;102;Python
sephirot47;Barcelona, Spain;Barcelona;11;753;29;57;C++
crdlc;Spain;España;5;747;9;8;JavaScript
Manu343726;Madrid, Spain;Madrid;69;746;198;99;C++
sennett;Barcelona;Barcelona;8;746;3;1;JavaScript
antonio;Huelva, Spain;Huelva;114;740;21;124;Ruby
Pafcholini;Barcelona;Barcelona;8;740;3;3;C
sonnyp;Spain;España;42;738;47;126;JavaScript
alexrchies;Madrid;Madrid;1;737;4;16;JavaScript
Xaviju;Madrid, Valencia, Spain;Madrid;47;733;97;248;CSS
