login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
richq;Madrid, Spain;7;157;242;3;0
ChusSenosiain;Madrid - Spain;3;156;4;7;0
dabdemon;Madrid;0;156;8;7;0
amcereijo;Madrid;8;156;10;5;0
javiercr;Madrid;24;156;24;3;0
MariaCheca;Madrid, Spain;10;156;1;5;0
theist;Madrid, ES;23;155;3;4;0
guille209;Madrid;1;155;0;11;0
txemagon;Madrid;63;155;21;11;0
fatfer;Madrid;3;152;0;23;0
ilyasergey;Madrid, Spain;33;152;48;14;0
jorgedlcruz;Madrid;8;150;11;4;0
lemursolution;Madrid, Spain;0;150;1;3;0
jmartinfe;Madrid, Spain;0;150;0;5;0
jmdaweb;Madrid, España;1;150;0;8;0
elbruno;Madrid, Spain;5;150;11;2;0
alfonso-presa;Madrid, Spain;3;150;9;8;0
clementprdhomme;Madrid, Spain;3;150;0;3;0
crevillo;Madrid, Spain;14;149;52;6;0
dachibox;Madrid;19;149;2;5;0
pepegar;Madrid, Spain;21;148;15;6;0
BorjaL;Madrid;8;148;1;4;0
Miguel-Herrero;Madrid, España;2;146;0;3;0
fpriyatna;Madrid, Spain;7;146;11;4;0
jorgeb1980;Madrid, Spain;0;146;1;4;0
fjaguero;Madrid - Spain;44;146;5;40;0
alvaropinot;Madrid;9;145;2;12;0
dng-es;Madrid, Spain;0;145;6;4;0
angelmunozs;Madrid (Spain);1;144;0;5;0
JuanFryS;Madrid, Spain;1;144;0;5;0
CodingFree;Madrid;14;143;13;3;0
fdupress;Madrid;1;143;0;4;0
felixzapata;Madrid;28;142;33;2;0
jorgemarcial;Madrid;7;142;0;5;0
newlawrence;Alcalá de Henares, Madrid (Spain);8;141;3;8;0
Noltari;Getafe, Madrid, Spain;22;141;15;4;0
FrancisVega;Madrid, Spain.;1;140;7;8;0
antonioIrizar;Madrid (Spain);3;140;0;4;0
genaim;Madrid;0;140;0;5;0
GuillermoPena;Madrid, Spain;0;138;18;6;0
MarioPerezEsteso;Madrid;60;138;4;4;0
javierhonduco;Helsinki, Finland/ Madrid, Spain;60;138;54;3;0
davidmoreno;Madrid (Spain) and London(UK);32;137;967;9;0
Ravenink;Madrid;1;137;0;6;0
ecoslado;Madrid;0;136;0;3;0
rjsanchez23;Madrid;1;136;1;5;0
ernesmb;Madrid;3;135;1;4;0
igalarzab;Madrid;30;135;32;4;0
lorenafernandez;Madrid;11;135;0;13;0
javierpuche;Madrid;1;134;0;6;0
sonsoleslp;Madrid;2;134;0;6;0
woqer;Madrid;3;134;1;9;0
drodri;Madrid, Spain;18;134;20;11;0
jjccc;Madrid;0;133;0;6;0
avegao;Madrid, Spain;1;132;0;11;0
maurogs;Madrid;8;132;1;15;3
serginator;Madrid;23;131;23;3;0
chemaar;Madrid, Spain;5;131;6;3;0
d4weed;Madrid;1;131;0;2;0
MiguelSR;Madrid;3;129;1;6;0
Pablo-Merino;Madrid, Spain;21;129;150;5;0
daserrano;Madrid, Spain;19;129;0;10;0
volodymyrprokopyuk;Madrid, Spain;3;129;0;11;0
jabadia;Madrid;6;128;3;3;0
egulias;Madrid;55;128;299;5;0
anthanh;Madrid;30;127;2;4;0
danielcorroto;Madrid, Spain;0;127;0;6;0
sirasistant;Madrid;2;126;0;7;0
RomRuben;Madrid, Spain;2;126;1;4;0
yosama;Madrid, Spain;2;126;0;6;0
iknite;Madrid, Spain;15;125;30;5;2
aelena;madrid;0;125;4;10;0
tamarit;Madrid;1;125;3;4;0
rubensegovia;Madrid;2;125;0;5;0
kwendenarmo;Madrid;1;124;0;4;0
peillis;Madrid;5;124;2;6;0
AlfonsoUceda;Madrid;24;124;8;5;0
lexnapoles;Madrid;0;124;0;7;0
jserranohidalgo;Madrid, Spain;6;123;0;3;0
javierjeronimo;Madrid;6;123;3;6;0
JulioMC;Madrid, Spain;1;122;0;4;0
smorcuend;Madrid;18;122;20;5;0
jacegu;Madrid;39;122;32;5;0
oinak;Madrid;18;122;33;3;0
javiervidal;Madrid, Spain;13;122;6;20;0
IlyaBakhlin;Madrid;9;121;1;4;0
lucasmenendez;Madrid;7;120;0;7;0
Enchufa2;Madrid;7;119;5;6;5
desarrolla2;Madrid, Spain;42;119;186;6;0
AngelLM;Madrid, Spain;2;118;0;5;0
nachoab;Madrid;2;118;0;4;0
IrisGaleano;Madrid;1;118;0;4;0
willyaranda;Aranda de Duero/Madrid;39;118;17;5;0
mcamou;Madrid, Spain;13;118;34;4;0
