login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
ToPoEdiTs;Valencia;2;8;0;1;0
nicolasblancom;Valencia - Spain;0;7;0;1;0
anpegar;Valencia (Spain);0;7;0;2;0
xleon;Valencia;0;7;0;1;0
DeaDJohn;Valencia;0;7;0;1;0
1raziel1;Valencia;3;7;2;2;0
gonzalotrencoehl;Valencia, Spain;0;7;0;1;0
Crash7600;Valencia;10;7;0;1;0
mvento;Valencia;1;7;0;1;0
Duxy1996;Valencia;3;7;2;1;0
Andrago;Valencia;0;7;0;1;0
laramirezro;Valencia, Spain;0;7;0;1;0
erasmolpa;Valencia;0;7;0;1;0
apache05;Valencia;0;7;0;1;0
vacercon;Valencia, Spain;2;7;0;1;0
David-Hervas;Valencia, Spain;0;6;0;1;0
rmontagud;Valencia, Spain;7;6;0;2;0
joan16v;Valencia (Spain);2;6;2;2;0
dreamersp;Valencia;0;6;0;1;0
alexmiragall;Valencia (Spain);1;6;0;2;0
davidpestana;Valencia, Spain;1;6;0;1;0
ivallesp;Valencia, Spain;1;6;1;1;0
rafaelaznar;Valencia, Spain;24;6;0;1;0
Castillosa;Valencia;4;6;0;1;0
fjsaorin;Valencia;0;6;0;1;0
IsidroSE;Tavernes de la Valldigna (Valencia, Spain);0;6;0;1;0
bloz07;Valencia;3;5;0;1;0
hodeitzu;Cullera(VALENCIA);3;5;0;1;0
JesusPyro;Valencia;0;5;0;2;0
mijuamon;Valencia;0;5;0;1;0
baudlord;Valencia, Spain;2;5;0;2;0
apasionados;Valencia, Spain;0;5;0;1;0
miguelangelrosales;Valencia;0;5;0;1;0
ralliv;Valencia (ESP);2;5;0;2;0
josedrac;valencia;3;5;1;1;0
l1oret;Valencia;0;5;0;3;0
ccabanes;Valencia;0;5;0;1;0
alldaudinot;Polytechnic University of Valencia, Valencia, Spain;1;4;0;2;0
chuano;Valencia, Spain;0;4;0;1;0
druizfr;Valencia;0;4;0;1;0
FranziscoJose;Valencia (Spain);0;4;0;1;0
juanmanavarro;Lliria, Valencia (Spain);2;4;0;1;0
Zephyrante;Valencia;2;4;0;1;0
greengrowapps;Valencia, Spain;1;4;0;1;0
IsmaHithub;Valencia Spain;1;4;0;2;0
EnricBaltasar;Valencia (Spain);2;4;1;1;0
valabau;Valencia, Spain;0;4;7;1;0
claudiosan;Valencia, Spain;0;4;0;1;0
JoSeTe4ever;Valencia, Spain;0;4;0;1;0
aferrandoa;Valencia;0;4;0;1;0
cfaria;Valencia Spain;8;4;0;2;0
Ithien;Valencia;0;4;0;1;0
fernandoigual;Valencia - España;0;3;0;2;0
marcgise;Valencia;0;3;0;2;0
terolle;Gandia   -  Valencia---   España;0;3;0;1;0
cbeneyto;Valencia, Spain;1;3;0;1;0
MeFuMo;Valencia, Spain;0;3;0;1;0
antoniomachine;Valencia;2;3;6;2;0
topecz;Valencia;0;3;0;2;0
juanitopons;Valencia;5;3;3;2;2
Uhor;Valencia;3;3;0;1;0
