login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
jordillull;Balearic Islands (Spain);8;97;6;12;0
rual93;Spain;8;96;0;7;0
biicode;Madrid, Spain.;21;95;28;4;0
pepeiborra;Valencia, Spain;22;95;72;2;0
TheLouK;Spain;13;95;3;7;0
endSly;Bilbao, Spain;18;95;212;5;0
EloYGomeZ;Spain;8;94;0;6;0
aurelian;Barcelona, Spain;21;93;223;12;0
lorenzoplanas;Huesca (Spain);20;93;23;9;0
dsager;Barcelona, Spain;7;93;1;5;0
adambarreiro;Spain;7;93;2;5;0
Atinux;Spain, Barcelona;65;92;350;3;0
JorgeCastilloPrz;España;52;89;580;4;0
harlock;Spain;10;89;5;4;0
luismiramirez;Madrid, Spain;10;88;4;4;0
pacoguzman;Fuenlabrada - Spain;46;88;41;2;0
polimediaupv;Valencia, Spain;10;87;28;4;0
GaDaXaRa;Madrid (Spain);12;87;6;13;0
quiqueporta;Spain;7;87;3;4;0
mrcasals;Barcelona, Spain;36;86;39;8;0
dvalcarce;A Coruña, Spain;12;86;6;7;0
miguelff;Spain;29;85;41;5;0
martinezjavier;Barcelona, Spain;51;84;198;2;0
sergpolan;España;8;84;1;3;0
larshesel;Barcelona, Spain;15;83;10;4;0
danigb;seville, spain;10;83;80;3;0
fjavieralba;Madrid, Spain;41;83;118;4;0
stevejpurves;Santa Cruz de Tenerife, Spain;10;83;1;3;0
jjuarez;Madrid, Spain;14;83;22;3;0
gigaherz;Spain;11;82;12;10;3
leolara;Malaga, Spain;24;82;1;5;0
Souler;Madrid (Spain);12;81;9;3;0
jmhdez;Madrid (Spain);35;81;66;4;0
dianaberenguer;España;9;79;1;4;0
manumorante;Granada, Spain;8;78;1;3;0
jmgimeno;Lleida, Spain;11;78;45;3;0
stripTM;Madrid, Spain;8;78;2;3;0
glomadrian;Spain;28;78;278;5;0
mefernandez;Valencia, Spain;7;78;40;4;0
csuarez;Cáceres (Spain);21;78;34;5;0
jmaister;Valencia, Spain;8;77;188;6;0
juanpri;Spain;6;77;0;4;0
bermi;Barcelona, Spain;61;77;264;2;0
apuigsech;Barcelona, Spain;10;76;7;7;0
carlosbuenosvinos;Barcelona, Spain;81;76;157;3;0
erseco;Granada, Spain;18;75;4;3;0
aleroddepaz;Madrid, Spain;10;74;10;3;0
magarcia;Barcelona, Spain;14;74;22;3;0
gblancogarcia;Spain;8;74;99;4;0
yoyo308;Spain;20;74;0;2;0
luismigm;Madrid, Spain;15;74;0;2;0
hsocasnavarro;Tenerife, Spain;11;74;60;3;0
KiwiPlus;Spain;12;73;0;5;0
jalucenyo;Spain - Tarragona;13;73;21;6;0
dario1985;Barcelona, Spain;15;73;10;5;0
yeradis;Barcelona,Spain;21;73;6;3;0
moliware;Spain;14;72;67;5;0
