user;province;contributions;stars;followers
knoopx; Barcelona;227;48;41
enriclluelles; Barcelona;227;155;38
singuerinc; Barcelona;226;36;9
jcanell4; Barcelona;226;0;1
dalareo; Coruña;226;0;2
hiulit; Barcelona;226;103;2
roobre; León;225;11;6
fjlopez; Zaragoza;225;0;10
franramirez688; Madrid;225;3;4
SergioCC14; Madrid;224;1;9
migueladan; Tenerife;224;6;14
PabloLaVegui; Cantabria;224;0;7
JRomeoSalazar; Zaragoza;223;0;3
jacekd; Barcelona;223;35;6
bluezio; Cádiz;223;140;13
vehrka; Valencia;222;3;4
tcorral; Barcelona;222;2018;201
alfred82santa; Barcelona;221;7;5
facundofarias; Barcelona;220;16;27
unintendedbear; Granada;220;1;10
vibaiher; Valencia;220;4;6
asanzdiego; Madrid;219;46;18
valenbg1; Madrid;219;6;11
lantoli; Madrid;218;9;9
javiergalloj; Sevilla;218;0;9
pablomario; Soria;217;0;1
cabul; Las Palmas;217;4;3
aagea; Madrid;216;2;5
anajuaristi; Donostia;216;0;8
lucasponce; Madrid;216;13;12
cfenollosa; Barcelona;216;415;36
ervitis; Madrid;216;2;2
albertopq; Barcelona;215;118;10
pablocelayes; Córdoba;215;5;6
tcard; Madrid;214;45;10
mumas; Barcelona;214;0;1
glimmerphoenix; Madrid;214;10;2
fcsonline; Barcelona;214;52;25
JAFS6; Granada;214;0;1
AlejandroPerezMartin; Las Palmas;213;5;9
aitorrl; Navarra;213;2;4
flozano; Valencia;213;10;7
albertoblaz; Madrid;213;9;13
alabarga; Navarra;212;4;10
sgomez; Córdoba;212;15;20
deantares; Granada;212;10;17
dgrijuela; Madrid;211;1;3
juanber84; Madrid;211;27;8
santigimeno; Madrid;209;28;4
sfotiadis; Madrid;209;2;2
fmsanjuan; Sevilla;209;0;1
luispedraza; Madrid;209;6;4
adriacidre; Barcelona;208;8;16
jlsalvador; Sevilla;207;2;3
PatrickHeneise; Barcelona;207;205;34
AyoPrez; Las Palmas;206;0;1
Suui; Las Palmas;206;1;5
ferblape; Madrid;204;204;133
adrianortuzar; Barcelona;204;3;12
jaimeiniesta; Gerona;204;595;128
slavepens; Cantabria;203;10;0
dpino; Pontevedra;203;36;13
josifovics; Barcelona;203;0;4
javiergonzper; Valladolid;203;0;6
josacar; Valencia;202;12;16
felHR85; Madrid;202;12;9
pire; Barcelona;201;4;3
xmontero; Barcelona;201;1;2
PedroMorgado; Madrid;201;0;9
nucliweb; Gerona;200;14;40
L4D15; Jaén;200;3;8
danibuiza; Asturias;200;1;1
k3xr; Madrid;199;0;5
amuino; Madrid;198;11;21
ruduran; Zaragoza;198;0;3
urodoz; Barcelona;198;6;3
bigardone; Asturias;197;30;10
andresgutgon; Barcelona;197;25;7
vitalv; Madrid;197;2;2
alexruperez; Madrid;197;630;41
iknite; Madrid;197;8;8
gponsu; Valencia;196;0;3
jesusba; Sevilla;196;0;16
xserra; Barcelona;196;0;24
carlosfdez91; Sevilla;195;0;17
gchaincl; Barcelona;195;155;13
ManelBrull; Valencia;194;0;1
ulisescontreras; Barcelona;194;3;9
rewritten; Barcelona;194;28;18
tunelko; Asturias;194;25;8
monday8am; Madrid;194;30;11
luisrovirosa; Almería;193;5;16
rcoedo; Coruña;193;1;4
markholland; Valencia;193;5;9
daormar; Valencia;192;4;0
acanas; Granada;192;8;15
germanramos; Madrid;192;1;1
Lesbinary; Alicante;192;0;2
joanromano; Barcelona;191;1;25
quickapps; Navarra;190;122;15
David-Estevez; Madrid;190;18;12
avances123; Madrid;190;26;7
fpriyatna; Madrid;190;9;6
danilat; Zaragoza;190;39;68
ezorita; Barcelona;189;5;4
zhensydow; Cantabria;189;18;4
yuraksisa; Barcelona;188;41;1
cladera; Barcelona;188;39;2
DavidGSola; Granada;188;0;2
hirunatan; Madrid;187;40;17
enricostano; Barcelona;187;6;7
aplatanado; Tenerife;187;33;31
johnnycakes79; Madrid;187;4;2
Totemika; Málaga;187;2;22
victor1995mv; Córdoba;186;0;11
miguelibero; Barcelona;186;23;9
rldona; Madrid;186;5;2
gui11aume; Barcelona;185;39;8
estelapedrero; Madrid;184;0;12
Samu92; Granada;184;1;4
artivis; Barcelona;184;0;5
antoniovazquezblanco; Lugo;184;0;11
jeroensangers; Lleida;184;0;0
pwntester; Madrid;183;55;27
luismagr; Cádiz;183;2;3
nosolopau; Barcelona;183;8;6
darkbox; Córdoba;182;24;1
petrklus; Barcelona;182;4;3
elboletaire; Barcelona;182;48;15
FranciscoP; Valencia;181;173;5
piradoiv; Tenerife;181;6;13
iderioja; Rioja;181;10;9
wynkth; Málaga;180;5;11
inigomedina; Madrid;180;2;10
vroman; Ciudad Real;180;0;5
luismesas; Madrid;180;39;6
ivanrod; Madrid;180;0;19
dixso; Barcelona;180;296;13
alrik11es; Madrid;180;18;11
gregoriorobles; Madrid;180;0;36
plnegre; Baleares;179;0;3
armandorvila; Madrid;179;0;2
avara1986; Madrid;179;4;6
socram8888; Valencia;179;9;15
Raspikabek; Madrid;179;0;1
javiercr; Madrid;179;23;19
VGonPa; Madrid;179;3;7
jgrivolla; Barcelona;179;1;4
