user;province;contributions;stars;followers
miceno; Barcelona;54;13;3
eloi010; Barcelona;54;0;2
arturomb21; Madrid;54;0;1
drmateo; Alicante;54;1;1
Nahikariii; Bilbao;54;2;3
Jesux11; Granada;53;0;0
jfigueruela; Sevilla;53;1;3
polcolomer; Barcelona;53;3;5
ogarcia; Madrid;53;7;8
marclop; Barcelona;53;1;1
franissen; Coruña;53;0;0
franontanaya; Valencia;53;1;0
WeRelax; Madrid;53;27;35
antoineallard; Barcelona;53;0;3
olea; Almería;53;39;15
FireZenk; Madrid;53;129;19
ssaavedra; Coruña;53;10;12
fuzzyalej; Madrid;53;13;32
forvas; Pontevedra;53;0;2
gabrielperezs; Baleares;53;3;2
sgmac; Madrid;52;9;6
sgimeno; Barcelona;52;0;7
Sulley38; Donostia;52;1;5
jemole; Sevilla;52;4;1
javikalsan; Navarra;52;1;0
tranchis; Barcelona;52;47;11
Ariacus; Granada;52;0;5
aaromnido; Zaragoza;52;4;1
edubxb; Barcelona;52;1;25
nitehack; Granada;52;3;6
ehooo; Málaga;52;1;2
aaronfc; Madrid;52;0;5
Tebo555; Cuenca;51;0;0
alessandrod; Barcelona;51;70;20
DaniMunin; Coruña;51;0;6
mmfilesi; Madrid;51;1;4
jpahullo; Tarragona;51;0;3
lopandpe; Madrid;51;1;1
vicendominguez; Valencia;51;13;4
mbernabeu; Alicante;51;0;3
aldoborrero; Madrid;51;8;3
kadaki01; Madrid;51;7;9
davidbarral; Coruña;51;11;17
pbaeyens; Granada;51;3;10
piponazo; Sevilla;51;3;1
gbvalor; Granada;51;1;1
jsmanrique; Madrid;50;8;8
Coolpix; Madrid;50;0;1
mparramont; Barcelona;50;58;14
sonoro1234; Barcelona;50;14;2
forcen; Madrid;50;0;1
edutec; Barcelona;50;18;5
Roboe; Madrid;50;0;1
marsty5; Barcelona;50;2;10
maurovc; Barcelona;50;0;1
swampie; Madrid;50;13;10
alexcarol; Barcelona;50;1;9
rmngrc; Castellón;50;0;0
ahuarte47; Navarra;50;0;0
cordin; Valencia;50;0;5
jordillonch; Barcelona;50;142;51
fiunchinho; Barcelona;50;52;37
nkm; Madrid;50;15;5
WanManolo; Granada;50;3;2
webkam11; Barcelona;50;0;2
AdrianGarciaAndreu; Valencia;50;0;2
euribates; Tenerife;50;1;2
jraicr; Alicante;50;2;2
MiguelAngelLV; Almería;50;6;4
adriannovegil; Coruña;50;1;1
mvallespir; Baleares;50;0;1
ibandominguez; Las Palmas;50;7;1
Marina42; Barcelona;50;1;2
LIAGerechter; Madrid;50;0;8
MartinPJorge; Madrid;50;0;6
andoni-eguiluz; Bilbao;50;4;19
jorti; Zaragoza;50;12;5
chrbongardt; Castellón;50;1;4
pyrextor; Las Palmas;49;0;1
Dinasty0; Málaga;49;0;0
sammla; Barcelona;49;0;10
victorcoder; Barcelona;49;175;35
JorgeBailo; Zaragoza;49;2;1
jomali; Cantabria;49;2;3
kix2902; Pontevedra;49;0;14
mmontes11; Coruña;49;13;6
juananruiz; Sevilla;49;3;0
juasiepo; Alicante;49;8;1
alfonsofonso; Barcelona;49;2;4
frantello; Huelva;49;0;0
ylcumberbirch; Madrid;49;0;1
pepetox; Madrid;49;0;3
d3cod3; Valencia;49;38;13
amatosc; Madrid;49;0;2
Gerpi; Asturias;49;0;0
vicdoz; Valencia;49;1;4
freeart; Barcelona;49;12;4
sleistner; Barcelona;49;61;23
ugeHidalgo; Granada;49;0;0
supertowers; Madrid;49;13;19
blorente; Madrid;49;0;2
gilmh; Zaragoza;49;0;5
pabloogc; Toledo;49;0;7
mesjetiu; Valencia;48;1;0
ivanbtrujillo; Tenerife;48;0;2
borbalher; Tenerife;48;0;1
jcasals; Barcelona;48;3;2
JesusM; Madrid;48;275;30
bensventures; Barcelona;48;0;2
mirkeet; Pontevedra;48;0;4
robertobarreda; Barcelona;48;8;9
Rulox; Tenerife;48;4;3
antoniogarrote; Salamanca;48;1058;141
AdrianVerde; Madrid;48;1;6
jpcid; Madrid;48;1;5
zmijevik; Asturias;48;23;4
rubennorte; Barcelona;48;0;12
Jautenim; Barcelona;48;1;2
sjcazzol; Córdoba;48;0;1
jhbabon; Barcelona;48;18;21
germaaan; Granada;48;5;10
andreshp; Granada;47;0;8
johnny32; Gerona;47;0;2
f-guitart; Lleida;47;0;3
xaaleja; Bilbao;47;0;2
garoi; Barcelona;47;0;8
Brok3r; Baleares;47;0;5
carlos-sierra; Asturias;47;7;4
acysos; Navarra;47;3;9
robmarco; Las Palmas;47;1;0
Sithdown; Asturias;47;5;8
afloresjpg; Córdoba;47;0;0
wiyarmir; Málaga;47;11;5
daserrano; Madrid;47;0;18
josecamachop; Granada;47;1;2
carlos-sancho-ramirez; Barcelona;47;5;2
chemacortes; Zaragoza;47;0;6
danyg; Barcelona;47;32;4
islavisual; Madrid;47;0;1
therobot; Madrid;46;3;29
lienbcn; Barcelona;46;0;5
jjordalope; Cantabria;46;0;0
nick13jaremek; Madrid;46;0;2
victorblasco; Barcelona;46;0;2
ngosang; Valladolid;46;2;0
SergioBertolinSG; Valladolid;46;0;0
not-only-code; Barcelona;46;50;13
David5i6; Valencia;46;24;2
jesusgn90; Granada;46;1;1
laudisa93; Sevilla;46;0;2
guillermofr; Murcia;46;2;3
basoko; Bilbao;46;1;10
aolivares; Granada;46;0;2
marsavela; Valencia;46;5;5
andresclari; Valencia;46;2;2
montes; Barcelona;46;26;15
enricruiz; Barcelona;46;6;11
novia713; Madrid;46;1;5
panfri787; Alicante;46;4;4
jormaral; Badajoz;46;15;5
juanmaorta; Barcelona;46;9;2
oriolblanc; Barcelona;46;38;31
jsierles; Sevilla;46;297;112
cyberguijarro; Cádiz;45;13;3
donmik; Coruña;45;19;2
santibaldassin; Córdoba;45;0;0
alonsoir; Badajoz;45;3;2
jsanroman; Pontevedra;45;6;4
Marfru; Granada;45;0;1
albaplaza; Madrid;45;0;2
mhauptma73; Granada;45;0;1
eberhm; Barcelona;45;26;19
braisNQ; Ourense;45;0;2
devcfgc; Bilbao;45;0;0
aaguilera; Barcelona;45;0;5
rveen; Valencia;45;19;1
LuisGC; Madrid;45;0;11
marcoslgm; Sevilla;45;0;4
josecsh; Granada;45;0;0
dh1118; Madrid;45;0;2
nestormh; Tenerife;45;3;2
ivanportillo; Córdoba;45;0;12
AlexSecundino; Madrid;45;0;1
rlucha; Valencia;45;1;2
TakuyaMK; Valencia;45;0;1
robertrv; Barcelona;44;64;4
royoruiz; Alicante;44;4;2
keidesu; Málaga;44;2;3
yuki; Bilbao;44;13;3
landerog; Bilbao;44;0;7
JoSeF267; Granada;44;0;1
hazardco; Badajoz;44;2;0
Danziger; Barcelona;44;1;1
IGZjonasdacruz; Madrid;44;0;8
juandebravo; Barcelona;44;33;34
rodrigoaguilera; Barcelona;44;1;5
moral3jo; Salamanca;44;0;0
Jesusmcs; Granada;44;0;2
sarrufat; Barcelona;44;0;1
lacion; Madrid;44;6;3
nadalsol; Barcelona;44;0;3
nesukun; Barcelona;44;0;2
sheilapbi; Donostia;44;0;19
jaschac; Barcelona;43;6;2
p4coperez; Sevilla;43;4;7
Alvaritos; Madrid;43;5;3
tonicebrian; Barcelona;43;21;16
dmuy; Toledo;43;0;0
ortuman; Murcia;43;429;5
pedroguirado; Granada;43;0;0
avilin; Almería;43;0;3
JulianAlonso; Madrid;43;4;8
vioklab; Barcelona;43;1;3
xavicarrillo; Barcelona;43;1;2
joacub; Zaragoza;43;1;2
joseprl89; Barcelona;43;0;1
AFRLme; Granada;43;0;1
jpuente; Madrid;43;4;3
albertodvc; Sevilla;43;0;2
Georgevik; Granada;43;0;1
nbarreira; Coruña;43;2;3
ericzon; Barcelona;43;5;5
Schbk77; Granada;42;0;0
megafounder; Barcelona;42;2;14
lizcanojair; Cantabria;42;0;0
i07; Málaga;42;1;0
celeduc; Barcelona;42;9;23
SiroDiaz; Murcia;42;5;2
RobertoEstrada; Madrid;42;48;7
borya09; Bilbao;42;5;6
manute; Madrid;42;2;11
toniprada; Madrid;42;20;16
sagoca; Sevilla;42;0;0
jfrodriguez; Madrid;42;0;5
jesusesteban; Madrid;42;0;4
ggalmazor; Donostia;42;93;31
SalleMeteor; Barcelona;42;0;2
inesgn; Álava;42;0;6
hhg2288; Barcelona;42;19;17
felixzapata; Madrid;42;17;20
davidkaste; Lleida;42;4;17
ManzDev; Tenerife;42;26;16
NestorAlbelo; Tenerife;42;0;1
Icebox2; Murcia;42;0;1
tubalmartin; Madrid;42;913;17
rsanchezbalo; Madrid;42;0;15
Aryslan; Barcelona;42;0;2
mgarenas; Granada;42;1;5
educorzo; Granada;42;0;2
nordri; Sevilla;42;0;4
varas; Barcelona;42;7;3
soulchainer; Murcia;41;3;4
PaNaVTEC; Valencia;41;71;16
oinak; Madrid;41;26;12
ricardoper; Salamanca;41;79;5
LasVegasOle; Barcelona;41;7;4
hbiarge; Huesca;41;16;5
emecas; Madrid;41;0;2
alvarobp; Valencia;41;54;35
Setibi; Málaga;41;0;0
jameswatts; Madrid;41;106;96
ctbrownlees; Barcelona;41;2;4
e1000i; Barcelona;41;0;2
ferminhg; Alicante;41;0;2
zerasul; Almería;41;2;5
kingoodie; Sevilla;41;2;1
lprisan; Valladolid;41;1;0
rofirrim; Barcelona;41;9;6
boyander; Barcelona;41;18;8
jruzafa; Alicante;41;17;33
xabierlegasa; Barcelona;41;1;6
k00d3r; Valencia;40;0;3
ewokcillo; Barcelona;40;5;16
jmartinezot; Donostia;40;0;1
robertobermejo; Segovia;40;3;5
marianmoldovan; Madrid;40;1;3
opentodonet; Barcelona;40;9;8
AdonaiAraya; Madrid;40;2;2
luicm; Madrid;40;0;1
jorgesancha; Madrid;40;2;8
jgallud; Albacete;40;0;4
ArianJM; Madrid;40;4;4
arkabytes; Zaragoza;40;0;2
martintsch; Barcelona;40;3;7
kikedomingo; Valencia;40;0;2
cjgb; Madrid;40;8;5
Arkalex; Barcelona;40;0;8
apbarrero; Madrid;40;1;2
relviratellez; Madrid;40;0;6
Gandio; Cádiz;40;0;4
davilovick; Sevilla;40;0;4
rogermanich; Barcelona;40;0;1
chebetos; Madrid;40;4;4
rogercampos; Barcelona;40;74;31
miUsername; Madrid;40;0;2
ddcesare; Barcelona;40;0;2
debiatan; Barcelona;40;5;2
jsuarezruiz; Sevilla;40;0;3
jsoriano; Madrid;40;21;21
PauGNU; Barcelona;39;0;2
ricgu8086; Madrid;39;0;1
ivangoblin; Barcelona;39;0;3
PPeMg; Granada;39;0;4
patmonsi; Valencia;39;1;2
txusinho; Bilbao;39;5;7
SpyRefused; Barcelona;39;1;1
victormartingarcia; Gerona;39;4;2
Vicktor2; Valencia;39;0;3
Alariel91; Zaragoza;39;1;8
Bumxu; Almería;39;12;4
andion; Coruña;39;8;14
javierarilos; Barcelona;39;1;2
javierpena; Madrid;39;0;2
mendrugory; Málaga;39;3;1
Odrakir; Madrid;39;4;10
antoniolg; Madrid;39;1668;287
oscarordonez; Lleida;39;0;0
RadW2020; Granada;39;0;1
andor-pierdelacabeza; Madrid;39;2;5
olivermontes; Alicante;39;5;24
jonlazaro; Bilbao;39;0;16
Victorgf87; Madrid;39;0;8
Franjs88; Madrid;39;0;3
IsmiKin; Málaga;39;1;5
inacho; Salamanca;39;45;6
DaniCamba; Ourense;39;0;1
aamoga00; León;39;0;0
josemanuelnavarro; Madrid;39;1;3
DesarrolloAntonio; Madrid;39;717;32
jserranohidalgo; Madrid;38;0;2
jaraen; Madrid;38;358;84
StateX; Barcelona;38;2;7
danielmellado; Barcelona;38;1;9
oneeyedman; Madrid;38;4;8
daisukewi; Barcelona;38;5;4
Queky; Bilbao;38;0;3
victoriano; Granada;38;15;32
jspinola; Gerona;38;0;2
CodingFree; Madrid;38;7;5
MikelDelTio; Bilbao;38;2;0
brianjimenez; Barcelona;38;3;1
mgallego; Madrid;38;33;22
bolilla; Madrid;38;0;3
soutoner; Málaga;38;0;1
villaverde; Pontevedra;38;0;1
sanogueralorenzo; Valencia;38;0;1
hugohcn; Álava;38;0;0
MarcosAguayo; Barcelona;38;11;11
JA-Gonz; Granada;38;0;1
inyenia; Sevilla;38;0;0
jmartin82; Barcelona;38;39;11
rauldiazpoblete; Cuenca;38;1;2
omascaros; Gerona;37;0;0
seaniechaos; Barcelona;37;0;7
kerunaru; Málaga;37;1;10
ankeberns; Cádiz;37;0;0
dachibox; Sevilla;37;0;9
angelcustodio; Barcelona;37;0;11
jjimenezg93; Ourense;37;0;2
GorkaMM; Madrid;37;1;13
davidgnin; Barcelona;37;0;1
badiali; Málaga;37;0;0
SackCastellon; Castellón;37;3;1
rai22474; Madrid;37;3;1
undeadpixel; Barcelona;37;2;3
jmanuelrosa; Madrid;37;0;11
Elpayoquedibuja; Bilbao;37;2;0
fontanon; Sevilla;37;40;46
plutec; Málaga;37;6;4
efueyo; Madrid;37;0;1
dvarrui; Tenerife;37;0;0
josenava; Madrid;37;0;4
Nazariglez; Tenerife;37;18;24
xoan; Coruña;37;38;27
jguillaumes; Barcelona;36;8;1
felipet; Granada;36;1;1
jjmleiro; Madrid;36;0;3
SergioLuis; Valladolid;36;0;4
raycoarana; Madrid;36;27;6
teknopaul; Barcelona;36;55;7
bgvo; Madrid;36;0;6
jpardobl; Madrid;36;23;2
alderin; Valencia;36;0;0
germtb; Málaga;36;0;1
dbarelop; Zaragoza;36;0;0
fabianvaccaro; Málaga;36;0;0
Skuerzo; Barcelona;36;0;1
mcomas; Gerona;36;1;1
osoylemez; Barcelona;36;0;3
xsb; Barcelona;36;10;12
CarlosUziel; Las Palmas;36;0;7
quobit; Valencia;36;0;0
alextoni; Granada;36;0;1
oslugr; Granada;36;55;45
manolodd; Badajoz;36;7;1
diegok; Barcelona;36;127;51
nleite; Barcelona;36;5;7
MacBookaro; Cantabria;36;4;3
ganchito55; Salamanca;36;1;1
iAcisclo; Madrid;35;1;4
j0sete; Málaga;35;1;2
davidjrh; Tenerife;35;2;2
mcvendrell; Ourense;35;0;3
gservera; Baleares;35;1;0
rmorcilloFidesol; Granada;35;0;0
cnavarro; Alicante;35;0;2
emilioramirez; Córdoba;35;5;6
Stsebas; Málaga;35;0;9
diacritica; Madrid;35;6;25
jmescpos; Sevilla;35;0;4
cmontemuino; Alicante;35;1;1
demil133; Asturias;35;3;12
chernando; Madrid;35;1;16
AlbertMorenoDEV; Lleida;35;1;1
tokland; Barcelona;35;133;14
weisk; Barcelona;35;3;2
iranzo; Valencia;35;22;16
delafuente28; Murcia;35;0;1
drpicox; Barcelona;35;3;8
Jose3L; Murcia;35;0;2
SkavenOfDarkness; Baleares;35;0;0
juliansanchez; Alicante;35;0;3
ndleon09; Madrid;35;0;1
jmmateoshggm; Madrid;35;0;4
avilches; Madrid;35;4;7
iamctodd; Madrid;34;0;6
pantulis; Madrid;34;59;57
JesusAntonioGil; Madrid;34;3;3
carlesgutierrez; Barcelona;34;3;10
k1000; Tenerife;34;64;5
raulillana; Barcelona;34;1;5
seymourpoler; Madrid;34;2;7
ismaelhamed; Sevilla;34;0;1
cartuchogl; Las Palmas;34;15;6
xavireig; Barcelona;34;1;2
izalv07; Granada;34;0;0
rubenhortas; Lugo;34;0;4
rbbau; Valencia;34;1;1
pablolmedorado; Sevilla;34;0;0
rogegg; Granada;34;1;7
ignasi; Barcelona;34;1;11
CsanchezC; Albacete;34;0;2
vicentegarcia; Madrid;34;10;4
soyrochus; Valencia;34;7;3
danmarcab; Cádiz;34;2;2
cnotred; Barcelona;34;0;3
Barbrady; Cantabria;34;0;0
kalprestito; Valencia;34;3;6
martimorta; Barcelona;34;1;6
ssedano; Barcelona;34;8;13
JSantosP; Madrid;34;4;5
carlosreig; Valencia;34;2;9
l1oret; Valencia;34;0;0
lucbpz; Sevilla;34;1;0
jenkins-zentyal; Zaragoza;34;0;0
jsoucheiron; Barcelona;33;2;7
dripolles; Madrid;33;0;11
carlosjtacon; Madrid;33;6;12
dMartinezAyuso; Valencia;33;0;0
robertarango; Asturias;33;0;1
carlosrdrz; Sevilla;33;2;3
safeer487; Valencia;33;0;0
zamarrowski; Madrid;33;8;3
Frandi1313; Asturias;33;0;2
hamena; Cádiz;33;0;3
lombartec; Barcelona;33;2;10
jesmg; Almería;33;0;2
fjmarcelo; Las Palmas;33;0;0
fonsito; Madrid;33;3;1
ianmartorell; Barcelona;33;42;5
alexandresaiz; Barcelona;33;7;10
lrodero; Pontevedra;33;2;0
trastejant; Madrid;33;2;2
mopred; Pontevedra;33;1;2
jeslat; Madrid;33;1;2
eccoilmoro; Lugo;33;0;1
nachomiralles; Castellón;33;0;1
bioinfoUGR; Granada;33;0;1
javierarques; Barcelona;33;3;16
miquecg; Pontevedra;33;0;1
javitelec; Madrid;33;0;1
ThXou; Barcelona;33;5;1
godric666; Alicante;33;0;1
hermzz; Madrid;33;19;12
miguelavm84; Málaga;33;0;0
jarroba; Madrid;32;10;21
pizcogirl; León;32;0;0
senorhesles; Sevilla;32;1;1
r0i; Albacete;32;0;6
ManuelPeinado; Madrid;32;3177;840
robertorobles; Asturias;32;12;5
nelboudjay; Málaga;32;0;0
AlexAznar; Tenerife;32;3;2
tcz; Barcelona;32;156;29
Myugen; Tenerife;32;2;2
mangelsnc; Valencia;32;2;11
mikessoldier; Salamanca;32;0;0
popoff1998; Córdoba;32;0;0
16BITBoy; Cádiz;32;3;9
migmartri; Sevilla;32;16;18
calinrada; Barcelona;32;176;14
ibannieto; Bilbao;32;0;10
gmartinvela; Madrid;32;19;4
jmjurado23; Córdoba;32;3;1
dato; Madrid;32;30;2
Rsilnav; Valladolid;32;0;0
AlvYuste; Alicante;32;0;1
sfaci; Zaragoza;32;2;19
Mun0n; Madrid;32;4;2
naoxink; Málaga;32;71;3
dnmellen; Madrid;32;15;5
myfunnyandy; Madrid;32;0;10
nidebo; Valencia;32;4;8
alexcastano; Sevilla;32;4;2
newlawrence; Madrid;32;0;3
FernandoMateus; Barcelona;32;0;3
mrsimo; Barcelona;32;42;36
Angelmmiguel; Sevilla;32;6;6
magomez; Coruña;32;0;0
SorayaFlecha; León;32;0;1
fraber; Barcelona;32;0;4
mghfdez; Madrid;32;0;4
XavierGimenez; Barcelona;32;2;2
jrgonzalezg; Granada;31;0;4
FrancisVega; Madrid;31;5;1
Tubilok; Madrid;31;0;2
sergiopenjob; Málaga;31;0;0
aeony; Barcelona;31;0;16
jesusaplsoft; Tenerife;31;1;0
adrian-afergon; Tenerife;31;0;3
dlogothetis; Barcelona;31;0;3
mresti; Granada;31;2;11
dennda; Madrid;31;56;27
enr00ted; Gerona;31;0;0
Nitrillo; Barcelona;31;0;3
joan16v; Valencia;31;2;2
arcxyz; Zamora;31;2;1
dasaki; Valencia;31;16;3
calas; Madrid;31;114;16
thmalmeida; Álava;31;0;0
jomargo; Valencia;31;0;0
mvi-; Barcelona;31;1;2
jleivaizq; Madrid;31;14;4
rubenmoya; Toledo;31;0;3
ellocoyo; Sevilla;31;1;2
grmarco; Madrid;31;0;1
jrgcubano; Baleares;31;40;15
okjake; Barcelona;31;4;4
ddelizia; Valencia;31;0;0
Doblej12; Córdoba;31;0;0
shadowman; Barcelona;31;11;5
gabrielmoral; Valencia;31;1;1
tramuntanal; Gerona;31;3;3
ADoncel; Granada;30;0;3
benru89; Madrid;30;6;6
Javier-varez; Badajoz;30;2;0
erik-landvall; Barcelona;30;32;12
rohirrin; Barcelona;30;0;2
jmrosell; Granada;30;0;0
joaquinferrero; Valladolid;30;1;3
alterebro; Zaragoza;30;27;0
josemiguelmota; Cádiz;30;0;0
JuanfranRobles; Granada;30;0;0
gpulido; Madrid;30;4;1
zerjillo; Granada;30;0;1
manlius; Tarragona;30;19;6
jpuchades; Valencia;30;0;0
rporrasluc; Córdoba;30;0;3
alexvat; Granada;30;0;2
guumaster; Madrid;30;3;4
martinciu; Barcelona;30;198;28
funihao; Navarra;30;0;1
Katovit; Granada;30;0;2
elmimmo; Barcelona;30;3;4
ivangsa; Coruña;30;8;1
benjaGarrido; Madrid;30;0;3
alvaromerino; Madrid;30;0;1
alfonsojimenez; Barcelona;30;17;28
Silvis; Madrid;30;0;1
klyone; Granada;30;0;6
towanda; Barcelona;30;4;45
1000io; Almería;30;2;0
robhunt3r; Madrid;30;0;1
villamany; Cádiz;30;0;0
warrendeleon; Barcelona;30;0;4
aluarosi; Madrid;30;24;9
Manri98; Asturias;30;0;2
koendv; Madrid;30;3;2
megalomono; Coruña;30;0;3
juanpablocruz; Madrid;30;8;2
fjsanpedro; Murcia;30;14;4
rafalopez79; Pontevedra;30;0;0
davidsf; Málaga;30;9;1
manusa; Valencia;30;5;1
alvarosaco; Córdoba;30;11;22
meerita; Barcelona;30;139;8
gonzalomcruz; Madrid;29;2;3
uxisready; Barcelona;29;0;1
alejandropg; Madrid;29;3;3
marciobarrios; Barcelona;29;29;22
dburgos; Madrid;29;3;3
erny; Sevilla;29;11;6
DavidRVi; Granada;29;0;0
aleixpol; Barcelona;29;1;7
damarsan; Valencia;29;2;6
jvegaf; Madrid;29;1;3
Alberto3008; Tenerife;29;0;0
davidayalas; Barcelona;29;29;4
Spinlogic; Albacete;29;0;1
Casg23; Barcelona;29;1;5
marlenelis; Granada;29;3;0
twiindan; Barcelona;29;3;2
juanfont; Coruña;29;3;8
jonasurbano; Almería;29;0;0
bartsanchez; Barcelona;29;0;1
Alayala; Granada;29;0;2
alexllao; Tarragona;29;0;0
MiquelAdell; Barcelona;29;0;2
RubenGuerrero; Madrid;29;0;2
drodriguez; Madrid;29;135;39
fblupi; Granada;29;0;1
peillis; Madrid;29;1;3
deavid; Valencia;29;42;5
jferrer; Madrid;29;0;3
danielmartin; Madrid;29;9;3
jcgarsan; Castellón;29;0;1
divins; Barcelona;29;5;27
michaelkoper; Madrid;29;18;12
amorshanty; Barcelona;29;0;4
biojazzard; Bilbao;29;33;6
pagafa; Pontevedra;28;0;0
gonzaloadrio; Pontevedra;28;0;13
sdavidg; Sevilla;28;1;0
malkiah; Bilbao;28;1;0
MiquelT; Barcelona;28;0;1
dmoreno; Madrid;28;6;6
didesweb; Valencia;28;0;0
rmartico; Burgos;28;0;0
luismiv85; Sevilla;28;0;0
aariste; Madrid;28;5;1
intemperie; Madrid;28;65;20
Aitor1995; Pontevedra;28;0;1
grhs; Córdoba;28;0;1
dlores; Bilbao;28;0;1
Ravenink; Madrid;28;0;1
frecio; Donostia;28;0;1
arturios; Álava;28;2;0
Rauleinstein; Granada;28;0;2
glztt; Asturias;28;0;5
Saphyel; Sevilla;28;2;4
warbelt; Valladolid;28;0;0
fray88; Madrid;28;1;2
marioeguiluz; Madrid;28;5;1
maroxa86; Tarragona;28;0;0
jlcorra; Asturias;28;0;3
luivalcab; Sevilla;28;0;0
slerena; Madrid;28;0;3
mgarcia96; Gerona;28;3;1
albertvp; Barcelona;28;1;4
jonseg; Barcelona;28;772;62
javier-orus-lacort; Zaragoza;28;0;0
Oldzhay; Madrid;28;0;5
albgc; Córdoba;28;2;6
GabrielFernandezMoral; Jaén;28;0;2
rephus; Málaga;28;1;1
pedroconcejero; Madrid;28;1;5
mpalenciano; Málaga;28;0;2
rais38; Madrid;28;9;29
pellejador; Sevilla;28;0;4
molpe; Madrid;28;58;32
nikars; Granada;28;0;1
fracalcar; Cádiz;28;0;0
weConnectMx; León;28;0;0
sruizg; Barcelona;28;0;3
frontday; Gerona;28;0;1
elalemanyo; Zaragoza;28;3;3
bermudoancio; Sevilla;28;0;0
jordi9; Barcelona;28;2;6
yaneq; Barcelona;28;9;11
hectorcanto; Barcelona;28;0;1
jmgjmg; Madrid;28;37;9
Lprigara; Tenerife;28;0;4
miquelbarba; Barcelona;27;2;2
acstll; Barcelona;27;7;3
dandev237; Málaga;27;1;3
danidiaz; Coruña;27;22;8
50l3r; Cantabria;27;4;1
sergiosquevedo; Ciudad Real;27;0;3
davidpelayo; Barcelona;27;0;5
jimy12; Cáceres;27;2;0
nRaiker; Granada;27;0;3
brainsqueezer; Coruña;27;44;23
NachoHernandez; Alicante;27;1;1
davidru85; Rioja;27;3;7
R12Leal; Baleares;27;0;0
jorge9200; Madrid;27;0;3
vicktor; Barcelona;27;21;9
malfario; Granada;27;13;1
pmarti; Zaragoza;27;122;12
MatiPruvost; Córdoba;27;1;0
lbarriosh; Madrid;27;5;2
alferpal; Valencia;27;0;4
nakasoft; Zaragoza;27;0;0
sauldeleon; Madrid;27;1;2
ramonpoca; Barcelona;27;26;3
nicoSWD; Barcelona;27;122;9
achaparro; Madrid;27;4;2
jonathanrg; León;27;0;1
jorgeavilacardenosa; Barcelona;27;0;6
pereorga; Barcelona;27;24;10
xDae; Madrid;27;0;2
miguelgr; Álava;27;6;12
Vicbon; Valencia;27;0;0
miguelhurtado; Cáceres;26;0;0
charlydagos; Málaga;26;0;3
wicz; Barcelona;26;14;9
rafaelrebolleda; Madrid;26;1;5
Terseus; Toledo;26;1;0
arannasousa; Las Palmas;26;0;0
jordinl; Barcelona;26;29;10
antoniomachine; Valencia;26;5;1
Rayco; Tenerife;26;0;7
jipipayo; Madrid;26;1;9
danielrozo; Barcelona;26;1;2
carrascoMDDsl; Valencia;26;0;0
eyp; Madrid;26;51;2
marinpareja; Sevilla;26;1;0
rubenfm; Madrid;26;0;10
ivantxoo; Donostia;26;0;0
ipuntom; Donostia;26;0;1
cramrov; Barcelona;26;6;2
Maverick94; Granada;26;0;2
Jacob84; Valencia;26;1;6
emiliotorrens; Baleares;26;15;7
dieg0v; Lugo;26;0;4
jlmd; Murcia;26;22;10
dapregi; Valencia;26;0;0
josevavia; Coruña;26;3;0
rsaban; Almería;26;0;1
esloho; Madrid;26;0;5
rjgarciam; Donostia;26;0;2
maryano; Rioja;26;0;2
djMesias; Toledo;26;0;4
uxio90; Pontevedra;26;0;1
franhernandez; Barcelona;26;0;6
ciherraiz; Granada;26;0;0
Bloodsucker; Valencia;26;2;3
laurent-RP; Barcelona;26;0;2
berikin; Valladolid;26;5;4
KarlDeux; Zaragoza;26;0;0
Nalx; Barcelona;25;0;1
jmprusi; Barcelona;25;2;6
javidam; Valencia;25;0;0
robertomagan; Granada;25;0;0
LuisTJap; Sevilla;25;0;4
basestylo; Ciudad Real;25;0;2
fldrog; Cádiz;25;0;0
garolard; Lugo;25;0;3
rorutza; Barcelona;25;0;1
moein; Baleares;25;2;4
nessa; Cádiz;25;4;7
oliverbarreto; Tenerife;25;10;1
djromero; Madrid;25;121;20
J0rgeSerran0; Madrid;25;0;1
distriker; Las Palmas;25;0;0
pedromateo; Murcia;25;4;3
i52gagrj; Málaga;25;0;0
lucasmenendez; Madrid;25;0;3
babelsistemas; Rioja;25;0;0
ferreras; Valladolid;25;0;0
hrysct; Barcelona;25;0;1
kyleh415; Barcelona;25;0;2
angellinares; Sevilla;25;1;12
falvaro; Valencia;25;7;2
pbanos; Sevilla;25;5;2
manuti; Málaga;25;13;11
david2Coders; Las Palmas;25;0;0
menaweb; Córdoba;25;0;0
quiqueciria; Madrid;25;0;1
jrodriguezg; Tarragona;25;0;1
adriavalles; Barcelona;25;4;12
c990802; Barcelona;25;0;3
resetreboot; Madrid;25;0;3
delacrmi; Valencia;25;0;0
CarlosCondor; Sevilla;25;9;7
davidgg; Asturias;24;0;2
JuanBalbuenaGonalez; Pontevedra;24;0;4
sberlinches; Madrid;24;0;3
Zpecter; Málaga;24;0;0
jesusmlpz; Valencia;24;0;0
hades87; Barcelona;24;0;2
martinezdelariva; Granada;24;157;11
toblerone554; Granada;24;0;2
adrianetete; Palencia;24;3;4
vicmonmena; Sevilla;24;2;1
jmga; Madrid;24;0;2
ivannis; Barcelona;24;1;4
sigilioso; Madrid;24;17;9
rrasmo; Zaragoza;24;3;3
oskarizu; Barcelona;24;0;10
pablobacho; Cádiz;24;0;0
davidcaste; Madrid;24;0;1
