login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
agdg;Alcalá de Guadaira. Sevilla. España;0;15;0;2;0
albertofortes;Seville, Spain;8;15;10;1;0
salrodgom;Seville;1;14;0;3;0
themerck;Seville;1;14;1;3;0
jlbarrera;Seville;3;14;1;3;0
ffgiraldez;Sevilla, Spain;8;14;20;2;0
mimopo;Sevilla, Spain;1;14;5;2;0
rflnavas;Sevilla;0;14;0;1;0
jsbalsera;Sevilla;29;13;17;1;0
Sharlie89;Sevilla;3;13;1;1;0
jmvictorio;Seville;0;13;0;2;0
Jose-Luis;Sevilla;0;12;0;1;0
antacerod;Sevilla;0;12;0;2;0
crishnakh;Sevilla;0;12;6;3;0
Rafitamolin;Sevilla, Spain;0;12;0;1;0
medelgarcia;Sevilla;0;12;0;2;0
csolarte;Seville, Spain;0;12;0;2;0
joseEnrique;Seville;0;12;0;1;0
luinix;Seville, Spain;16;11;3;2;0
alvfergar;Seville;0;11;0;2;0
mrluissan;Sevilla, España;0;11;0;2;0
JvrBaena;Sevilla;17;11;25;2;0
Bradox;Sevilla;0;11;3;3;0
augsalmur;Sevilla;1;11;0;2;0
ahdiaz;Seville, Spain;23;11;13;2;0
juanrmn;Seville, Spain;3;10;41;1;0
kruske;Sevilla;0;10;0;1;0
ElizabethMoreno;Sevilla;6;10;0;1;0
mviera;Seville;23;10;39;3;0
fernandogmar;Sevilla, Spain;4;10;109;1;0
jcpenuela;Sevilla (Andalucía - España);1;10;0;2;0
GuilledelaCruz;Sevilla, Spain;6;9;0;2;0
jmaparicio;Sevilla;0;9;1;4;0
ellocoyo;Sevilla;2;9;1;1;0
svicente1993;Sevilla;8;9;0;1;0
AMongeMoreno;Seville, Spain;1;8;0;3;0
AlbertoImpl;Sevilla;3;8;0;2;0
ManuelLunaPerez;Dos Hermanas (Sevilla);9;8;1;1;0
fgabriel78;Seville;1;8;1;2;0
DeathlyFlags;Seville;0;8;0;2;0
manuagui;Seville, Spain;1;8;0;2;0
ahmontero;Seville, Spain;30;8;274;2;0
Sukafe;Seville, Spain;0;7;0;1;0
Jorge-Dona;Sevilla;1;7;0;1;0
angelnavarro;Sevilla, España;1;7;1;1;0
Dromaguirre;Seville, Spain;74;7;1191;2;0
falconmfm;Seville;0;7;1;1;0
lmiceli;Sevilla, ES;3;7;0;2;0
aaroca;Sevilla;1;7;3;1;0
juananruiz;Sevilla, Spain;1;7;3;2;0
pellejador;Sevilla;4;6;0;2;0
chmeee;Sevilla;4;6;25;2;0
CieNTi;Sevilla, Spain;0;6;0;2;0
recena;Sevilla, España;1;6;0;1;0
jarcos;Sevilla, Spain;7;6;0;1;0
juarru;Sevilla;0;6;0;2;0
serrapos;Sevilla - España;2;6;5;1;0
ZEMOS98;Sevilla;0;6;0;1;0
carlosgom20;Dos Hermanas, Sevilla;0;5;0;1;0
alfyanher;Sevilla;1;5;0;1;0
andresgomez92;Sevilla;3;5;0;1;0
notfrombrooklyn;Seville, Spain;0;5;0;1;0
pabloescribanoloza;Seville;3;5;5;1;0
MiguelBemartin;Seville, Spain;2;5;0;1;0
JesusTinoco;Sevilla;0;5;0;1;0
ThorusWTF;Seville, Spain;0;5;2;2;0
ma3se;Seville;2;5;0;2;0
juanjerod;Dos Hermanas, Sevilla;2;5;0;1;0
SVQJUG;Seville;2;5;4;2;0
nackd;Sevilla, Spain;35;5;15;2;0
jorgecorrea;Seville, Spain;0;5;3;1;0
selucote;Seville (Spain);0;5;0;2;0
cgm1995;Sevilla;1;5;0;1;0
DalZap;Seville, Spain;0;5;0;1;0
spiry;Sevilla;0;5;0;1;0
robertovg;Sevilla;3;5;8;1;0
AntonioSpain;Seville (Spain);0;5;0;1;0
juanmiitadiaz;Dos Hermanas, Sevilla;0;5;0;1;0
Rafael-Ayala;Sevilla;0;4;0;1;0
sergio2m;Sevilla;2;4;0;1;0
fafranco82;Sevilla;0;4;0;1;0
csmendoza;Sevilla, Spain;0;4;1;1;0
albmarvil;Seville, Spain;0;4;0;1;0
vicmarcal;Seville;0;4;0;1;0
makmonty;Sevilla;3;4;6;2;0
DemofiloVizuete;Sevilla, España;0;4;0;1;0
adrisanchezfr;Dos Hermanas, Sevilla;3;4;0;1;0
IvanGRod;Seville, Spain;1;4;0;1;0
Pycero91;Seville (Spain);0;3;0;1;0
dpcreativo;Sevilla;0;3;0;1;0
albertodvc;Sevilla;2;3;0;1;0
abranxi;Seville;3;3;1;1;0
fjperezgrau;Seville;0;3;0;1;0
martinico;Sevilla, España;0;3;0;2;0
mrebollob;Sevilla;1;3;0;1;0
y2josei;Back in Seville (Spain);4;3;2;1;0
juaagugui;Seville, Spain;3;3;0;1;0
