login; location; followers; contributions; stars; language
Gaedr;Granada, Spain;1;15;0;Java
Sinkmanu;Malaga, Spain;3;15;6;Python
faival;Spain;1;15;1;JavaScript
packetstracer;España;0;15;0;PHP and JavaScript
gervarela;Ferrol, Spain;1;15;0;
borlafdev;Spain;8;15;2;Ruby
albertofortes;Seville, Spain;8;15;10;JavaScript
marcoslop;España;3;15;4;Java
angellinares;Sevilla, Spain;12;15;1;C#
abmdam;Spain;6;15;0;Java
bodypheo;Spain;3;15;3;Python
jcardenal;España;0;15;0;R
sgolivernet;Spain;130;15;326;Java
javierht;Valladolid - Spain;2;15;0;
rubiaonrails;Barcelona;22;15;0;Ruby
gnuine;Barcelona, Spain;22;15;266;Ruby
carlosmartinmari;Barcelona;0;15;0;R
marcalj;Montseny, Barcelona;8;15;0;PHP and JavaScript
gmoretti;Barcelona, Spain;0;15;0;Python
nazasan;Madrid (Spain);0;15;0;R and HTML
salmar;Barcelona, Spain;24;15;44;Java
mguadarrama;Barcelona;2;15;0;C#
vladyslav2;Spain, Barcelona;0;15;1;Python
pratipo;barcelona, spain;6;15;6;C++
kalvinarts;Sabadell, Barcelona;0;15;0;JavaScript
fergulis;Barcelona, Spain;0;15;0;Clojure
dtamajon;Barcelona;1;15;0;PHP
acasademont;Barcelona;15;15;12;PHP
plmarcelo;Barcelona;0;15;1;PHP
NauzetHdez;Las Palmas de Gran Canaria;2;15;0;Java
javiertoledo;Las Palmas de Gran Canaria;20;15;265;Ruby
doogle;Barcelona, Spain;0;15;1;C
orioljimenez;Barcelona, Spain;7;15;0;JavaScript and CSS
mrcone;Alicante;1;15;1;PHP
anderpg;Bilbao;0;15;0;CSS
baile;Pamplona;1;15;1;Shell
penalvea;Castellón (Spain);1;15;0;C++ and C
pakitochus;Granada;0;15;0;Python and Matlab
PeRDy;Málaga;3;15;0;Python
rafbermudez;Arteixo ( A Coruña );4;15;0;JavaScript
AlejandroFortes;A Coruña;2;15;0;JavaScript and CSS
egouy;Barcelona, Paris;0;15;0;CSS and JavaScript
crosasm;Barcelona, Spain;0;15;0;Shell and Python
joseprupi;Barcelona;1;15;0;Java
ajaysmurthy;Barcelona;2;15;0;C++
Patopilon;Cuenca;0;15;0;R
Manuel-Jesus;Los Palacios y Villafranca, Sevilla;15;15;0;Python
alfem;Seville;4;15;9;Python
davidmb91;Sanlúcar de Barrameda (Cádiz) - Spain;3;15;1;PHP and CSS
delacrmi;Valencia;0;15;0;JavaScript and CSS
raulh82vlc;Valencia;0;15;0;PHP
ddelizia;Valencia;0;15;0;Java
Pebs1189;Valencia - Spain;0;15;0;JavaScript
jh2odo;Spain, Almería;1;15;0;PHP
i72dibef;Córdoba (Spain);1;15;0;C
sistemasflat;General Deheza, Cordoba;0;15;0;CSS
icaroviedo;Oviedo;0;15;0;CSS
alvaropanizo;Oviedo;6;15;0;CSS
alperi89;Gijón, Asturias, España;1;15;0;
ancarebeca;Santa Cruz de Tenerife;2;15;0;PHP
pacovila;Badajoz, Spain;0;15;0;Shell
frecio;San Sebastián;1;15;0;CSS
rahermur;Madrid;1;15;0;R
Carlisfrin;Madrid;0;15;0;JavaScript
Rcarratalasanchez;Madrid;0;15;0;Shell
mappolo;Madrid;2;15;0;Shell
twoixter;Madrid;12;15;105;Ruby
prdolmos;Madrid;1;15;0;JavaScript
andufratu;Madrid;1;15;0;PHP
Nikokrock;Madrid;4;15;0;
sergigit;Madrid;0;15;0;
javirojo;Alcorcón (Madrid);2;15;0;
Aracem;Madrid;25;15;2;Java
EduFdez;Spain;2;14;1;C++
seiya64;Granada, Spain;2;14;10;JavaScript
elgatofelino;España;0;14;0;Ruby
sanitexa;Terrassa, España;2;14;1;CSS
yagopv;Spain;17;14;239;JavaScript
jota-mon3;Palencia, Spain;0;14;0;OpenSCAD and Shell
rainycape;Verdicio / Spain;6;14;490;Go
anazamarron;Madrid, Spain;1;14;0;R
rmarpozo;España;1;14;3;Java
marianmartinez;Madrid, Spain;6;14;0;Ruby
luismiguelbp;Valencia, España;0;14;0;C#
ealogar;Valladolid, Spain;2;14;0;Python
magabriel;Spain;2;14;21;PHP
nicolae-stelian;Madrid, Spain;2;14;4;PHP
melozo;Spain;2;14;0;Ruby
danielegrasso;Madrid, Spain;1;14;0;
andrius;Spain;2;14;61;Shell
mmanzano;Murcia, España;1;14;0;CSS
rrasmo;Zaragoza, Spain;3;14;3;Python
JesusMurF;Zaragoza, Spain;6;14;0;CSS and JavaScript
migueljimeno96;La Rioja, Spain;2;14;8;Python
joscartesar;Spain;6;14;0;JavaScript
davewilliamson;Spain;3;14;2;JavaScript
mikelfer;Spain;6;14;0;
robfree;Spain;0;14;1;Shell and JavaScript
miquelcamps;madrid, spain;168;14;75;PHP
fcolmenero;Spain;0;14;0;R
rcolomoc;España;0;14;1;PHP
FisheriesIIM;España;0;14;1;R
tarodx;Madrid (Spain);1;14;0;R
manolomaldonado;Madrid, Spain;0;14;1;Ruby
mrtnzrcrd;España;1;14;1;PHP
makensi;Spain;3;14;5;JavaScript
Skyline777;Spain;1;14;2;Lua
ralamarti;Zaragoza, Spain;0;14;0;Java
silverthunder;Spain;2;14;0;C++ and HTML
zuluheaven;Spain;0;14;0;R
rgolea;Spain;4;14;0;JavaScript
kamihouse;Madrid, España;4;14;8;JavaScript
macayaven;Spain;0;14;0;JavaScript
Andresjgb;Southampton(UK) & Cordoba (Spain);0;14;0;CSS
IzanRodrigo;Madrid, España;5;14;7;Java
Chiptunes;Madrid, Spain;9;14;13;JavaScript
mgparada;España;5;14;0;JavaScript
ffgiraldez;Sevilla, Spain;5;14;15;Java
diegopau;Vigo, Spain;5;14;5;JavaScript
titosemi;München, Deutschland , Granada, España;19;14;12;Shell
arnsangra;Barcelona;1;14;0;
rroch;Barcelona;0;14;1;CSS and JavaScript
ameithor;Barcelona;1;14;0;Java
evamichalcak;Barcelona, Spain;0;14;0;JavaScript
r01010010;Barcelona;5;14;1;JavaScript
histonemark;Center for Genomic Regulation CRG Barcelona;2;14;0;Shell
jsalvata;Barcelona;1;14;14;JavaScript
polmrtn;Barcelona;2;14;0;HTML and JavaScript
noe6600;Barcelona;1;14;2;Java and PHP
legomolina;Valencia;1;14;0;JavaScript
paulinagorecka;Barcelona;0;14;0;CSS
diekus;Barcelona;4;14;1;HTML
antoniofelices;Barcelona;1;14;0;CSS
hectorromo;Gijón;2;14;1;JavaScript
farzadhusain;Barcelona, Spain;0;14;0;Shell
mrtxema;Barcelona, Spain;0;14;0;Java
carlesgutierrez;Barcelona;10;14;3;C++
maneta;Barcelona;9;14;0;Ruby
chris-zen;Barcelona (Spain);5;14;6;Python
tiemsi;Alicante/Spain;0;14;0;Java
ginsen;Vilanova i la Geltrú, Barcelona;5;14;0;PHP
Victek;Barcelona (Spain);12;14;30;JavaScript
buenoudg;Girona;0;14;0;JavaScript
dard0;Murcia;9;14;0;Java
gabrielperales;Murcia;19;14;1;JavaScript
ecdani;Albacete;3;14;0;HTML
Chegarra;Valencia, Spain;0;14;0;JavaScript
themerck;Seville;1;14;1;Python
salrodgom;Seville;1;14;0;Shell
lluisvicens;Girona;0;14;0;
JDBS;Tenerife (Canarias);1;14;0;Java
alu0100614220;Tenerife;0;14;0;Ruby
jsanchezramos;Barcelona;6;14;8;JavaScript
fraguada;Barcelona, Spain;13;14;21;C++
Frederic-Barcelone;Barcelona;0;14;0;Ruby
xmontana;Tarragona;2;14;8;PHP
edupoch;A Coruña, Spain;5;14;2;JavaScript and PHP
fabianlema;A Coruña;0;14;0;C
javipaur;vitoria;1;14;0;
vancasti;Cáceres;1;14;0;CSS
javierlopezdeancos;Toledo;16;14;3;JavaScript
jotive;Monteria - Cordoba;0;14;0;
dawidhml;Albacete;0;14;0;JavaScript and CSS
AmadorNavarro;Albacete;0;14;8;Objective-C
valdes86;Gijón/Xixón;0;14;0;
nicomda;Jaén;0;14;0;C++
joadtor;Valencia, ES;5;14;3;Java
blueyes20;Torremolinos, Málaga;0;14;0;PHP
gilcu2;Malaga;0;14;0;Python
Dinasty0;Málaga;0;14;0;
Lifka;Granada;5;14;0;C++
martinezdelariva;Granada;11;14;158;Ruby
koldohernandez;Bilbao;0;14;0;Shell and JavaScript
mrt694;Málaga;0;14;0;
miksansegundo;Málaga;1;14;0;JavaScript
gmolto;Valencia, Spain;0;14;0;
franmomu;Valencia;21;14;54;PHP
alexmera88;Barcelona, Spain;0;14;0;Java
amolinasalazar;Granada, Spain;1;14;0;PHP
iflumpi;Madrid;0;14;0;Shell
gootyfer;Madrid;42;14;22;JavaScript
Rafa-GdA;Madrid (Spain);0;14;0;JavaScript and CSS
JHernan;Madrid;0;14;0;PHP
rapto;Madrid;1;14;1;Python
marcos-garcia;Madrid, Spain;0;14;2;Java
manuvaldi;Madrid;0;14;0;Perl
DanielLara;Madrid;1;14;0;
jrcuesta;Madrid;0;14;1;R
ignaciolabella;Madrid;0;14;0;R
palonsoro;Madrid;1;14;1;Ruby and Shell
jvalderrama;Madrid;1;14;0;Java and JavaScript
moncho;Madrid;2;14;0;Shell
beeva-davidgarcia;Madrid;1;14;0;JavaScript
dorcu;Madrid;0;14;0;Arduino
33hops;Madrid - Spain;0;14;0;Shell
jbmere;Madrid;0;14;0;Shell
jlopezcur;Madrid;1;14;13;PHP
thepianist2;Madrid;0;14;0;CSS
Oldzhay;Madrid, Sierra Norte;5;13;0;CSS
rfloper;Santiago de Compostela, Spain;1;13;3;CSS
joantolos;Barcelona;0;13;0;Java
kirthar;Barcelona, Spain;4;13;0;JavaScript
Xelit3;Barcelona;1;13;0;Java
spiritlcx;Barcelona;2;13;0;JavaScript
iEnrico;Barcelona;2;13;0;PHP
assimovt;Barcelona;27;13;54;JavaScript
vchoubard;Barcelona;1;13;0;Java and Python
hampld;Zürich, Switzerland // Barcelona, Spain;0;13;0;
vguardiola;Barcelona;16;13;1;PHP
hadeskun;Barcelona;0;13;1;CSS
xavi-reloaded;Barcelona;6;13;3;Java
Rurdin;Pamplona;0;13;0;CSS and JavaScript
AEljarrat;Barcelona, Spain;0;13;0;Erlang
annasdt;Barcelona;0;13;0;Python
saracubillas;Barcelona;7;13;3;PHP
afernandez90;Martorell (Barcelona);1;13;0;C++
guillemf;Barcelona;1;13;0;Objective-C
marcmora;Barcelona;0;13;0;
sbanzas;Barcelona;1;13;0;Python
gilserrap;Barcelona;2;13;1;Objective-C
slanau;Barcelona, Catalonia, Spain;5;13;0;Java
eballetbo;Barcelona;5;13;11;Shell
skalad;Barcelona;0;13;0;Shell
JaimeObregon;Santander, Spain;3;13;4;PHP
FernandoTusell;Bilbao, Spain;0;13;0;R
eneko89;Bilbao, Vizcaya;9;13;9;Java
NyoronSheppard;Alicante;2;13;1;C#
iPotaje;Las Palmas de G.C.;0;13;0;JavaScript
aitorcarrera;Las Palmas;0;13;0;Puppet
lcabrera;Las Palmas de Gran Canaria;3;13;2;Python
fertapric;Madrid, Spain;31;13;79;JavaScript
aitorgr;Spain;0;13;10;Ruby
jordiviva;España;0;13;0;C++
IcuScc;Soria;0;13;0;Swift
luisguillenc;Teruel;0;13;0;Shell
mgnt;Toledo;1;13;0;JavaScript
manfer;Spain;1;13;24;Python
eherrerosj;Madrid, Spain;1;13;0;Python
koji3;Spain;0;13;0;Shell
mpascu;Lleida;0;13;0;Java
genimarca;Jaén, Spain;1;13;0;
percevaq;Granada -Spain-;0;13;0;Python and Java
angelpontes;Córdoba, Spain;3;13;6;CSS
lucadv;Málaga;1;13;0;PHP
ecordova1;Spain;0;13;0;R
segarci;Almería, Spain;3;13;0;
msgomezm;Cadiz, Spain;11;13;0;Java
danigonlinea;Conil (Cádiz), España;1;13;1;CSS
Rauldel2;Valencia;0;13;0;JavaScript
ruizro;Xirivella, Valencia;1;13;0;JavaScript
JoSeTe4ever;Valencia, Spain;0;13;0;
alexseik;Madrid;0;13;0;JavaScript
bmenendez;Madrid;11;13;14;Python
nuragic;Madrid;14;13;45;JavaScript
davidgnavas;Madrid;2;13;0;Ruby
recioalex;Madrid;0;13;0;Makefile
josemmoya;Madrid;4;13;0;
cerquide;Barcelona, Spain;1;13;0;Scala
Seiul;Madrid;1;13;0;JavaScript and CSS
neoshadybeat;Madrid;21;13;13;PHP
Doblede;Madrid;6;13;0;Shell
joanh;Madrid;0;13;0;R
krpntrz;Madrid;1;13;1;JavaScript
PabloYglesias;madrid;6;13;16;JavaScript
polUps;Valencia, Spain;0;13;0;JavaScript
AunSiro;Spain;3;13;1;Python
KanedaShotaro;Madrid,Spain;5;13;0;PHP
Ciges;36210 Vigo (Spain);5;13;10;JavaScript
Jmartnz;Murcia, Spain;0;13;0;Ruby
hecrogon;Tenerife (Spain);1;13;2;Python
Joriks;Spain;0;13;0;Java
Kokelogy;Madrid, Spain;0;13;0;
AdrianECom;Murcia, Spain;3;13;0;Java
franciscomaestre;España;1;13;0;Java and HTML
ivallesp;Valencia, Spain;1;13;1;JavaScript
lherrera;Madrid. Spain;0;13;0;R
LuisFerEstrada;Madrid - (España);0;13;0;Shell
pellonrafael;Spain;1;13;0;R
sergiogilupm;Madrid, Spain;1;13;0;CSS and JavaScript
Belethia;Spain;2;13;0;Ruby
jsfdez;Spain;1;13;3;C++
DavidDual;Reus, Tarragona Spain;0;13;0;JavaScript
guillermomarco;Valencia, Spain;4;13;0;
jelukas;Spain;13;13;17;Python
albestio;Spain;3;13;0;JavaScript
elmendalerenda;Valencia - Spain;39;13;20;JavaScript
robbalaban;Madrid, Spain;0;13;0;Java and HTML
ArturSoler;Barcelona, Spain;3;13;1;Python
elbuit;Tavernes de la Valldigna, Valencia (Spain);0;13;0;Perl
jfnandez;Spain;0;13;0;Ada and Shell
steegg;Spain;0;13;0;Objective-C
rastersoft;spain;9;13;143;Vala
blogalizate;Marbella - Málaga (Spain);2;13;2;
jmarcosf;Spain;1;13;0;Java
kaiser07;España;0;13;0;PHP
jlmonteagudo;Spain;14;13;46;JavaScript
m4rc0s82;Spain;1;13;0;HTML
SergioTB;Spain;2;13;0;
Pteridium;Vigo, Spain;6;13;4;Shell
salvitas;Valencia, Spain;2;13;4;JavaScript
diegofd;Spain;2;13;1;C++
cgrs;spain;0;13;0;PHP
alseether;Spain;1;13;0;C++
javierlgroba;España;0;13;0;Python
sertykos;Spain;8;13;0;CSS
juanjovazquez;España;2;13;0;Scala and Shell
dasouza;Arrecife, Spain;5;13;0;PHP
tomasalmeida;Vigo;4;13;0;JavaScript
anamariasdiaz;Granada;0;13;0;JavaScript
jpuerto;Granada;3;13;4;JavaScript
Pablo126;Granada;2;13;0;Groovy
sonxurxo;A Coruña;3;13;1;Objective-C
javierev;A Coruña;7;13;2;Java
beni0888;Cáceres - Spain;1;13;0;PHP
jsbalsera;Sevilla;29;13;17;PHP
jmvictorio;Seville;0;13;0;Objective-C
softastur;Asturies;0;12;0;Java
PabloFernandezRodriguez;Oviedo (Asturias, Spain);2;12;0;
santiagografico;España;1;12;0;
itziarfm;Valladolid, Spain;0;12;0;
miwelc;Spain;5;12;4;C
McVillano;España;1;12;1;C
flype;spain!;53;12;91;Ruby
gcorpas;Málaga;1;12;0;
juanda;Madrid (Spain);24;12;15;PHP
paolobiavati;Spain;0;12;0;Java
xavileon;Barcelona, Spain;1;12;1;Shell
Jonathan-Minchin;London England,  Barcelona Spain;5;12;0;
csolarte;Seville, Spain;0;12;0;Emacs Lisp
crishnakh;Sevilla;0;12;3;JavaScript
infernape763;Jaen, España;2;12;0;C
Gamxini;Jerez de la Frontera;4;12;0;Python
elkraneo;Rota, Cádiz;8;12;6;Swift
davidgaya;Barcelona;5;12;20;Ruby
bricogeek;Spain;1;12;0;
vice;Spain;0;12;2;PHP
pyrobisqit;Madrid, Spain;1;12;1;C++ and Shell
tommyalonso;TF, Spain;1;12;0;
Crash7600;Valencia;11;12;0;Java
Castillosa;Valencia;1;12;0;Python
anye1505;Valencia;3;12;0;
Surfinfan;Valencia;0;12;0;R
hgarza;Barcelona;0;12;0;CSS and JavaScript
dmorinya;Barcelona;0;12;0;R
icebeat;Madrid;31;12;168;JavaScript
manutenfruits;Madrid;2;12;0;JavaScript
hopple;Madrid;5;12;0;Python
fpedrera;Tres Cantos, Madrid;5;12;0;
balduz;Madrid;0;12;0;Python
aemonge;madrid;10;12;1;Ruby
dmunicio;Madrid;0;12;3;Python and Java
jagui;Madrid;1;12;18;C#
cuadrado;Alcalá de Henares (Madrid) Spain;0;12;0;JavaScript and CSS
kikeEsteban;Madrid;0;12;0;Groovy and Java
zant95;Madrid;9;12;17;Java
adelarosab;Madrid;0;12;0;PHP
porland;Madrid;0;12;0;
Jaldir;Madrid;0;12;0;
jdiazcano;Madrid;1;12;0;Java
didelco;Madrid;1;12;0;JavaScript and CSS
raul-arrabales;Madrid;2;12;3;CSS
juliansf;Madrid, Spain;0;12;2;C
frsantos;Madrid;2;12;2;Ruby
Alberto-Moreno;España;0;12;0;R
asystat;Spain;1;12;190;Java
alejandrohall;Spain;2;12;0;Java
Maveryck70;España;0;12;1;JavaScript and CSS
McGuten;Madrid, Spain;1;12;2;Lua
punkto;Vigo, Spain.;4;12;11;JavaScript
dcastello;Madrid, Spain;20;12;14;PHP
ifrins;Barcelona;1;12;4;Java
ppeszko;Barcelona;30;12;36;Ruby
jaranega;Barcelona;4;12;0;ActionScript and C++
ignasivegas;Barcelona;0;12;1;JavaScript
glopezdetorre;Barcelona;7;12;6;PHP
xqueralt;Barcelona;13;12;4;Shell
ninioperdido;Granada, Spain;0;12;2;Python
enricenrich;Menorca, Spain;5;12;1;Objective-C
gomisvicent;España;0;12;0;CSS
MarcosCM;Zaragoza, Spain;3;12;0;
ElenaMerelo;Granada, Spain.;4;12;1;CSS
carlosleondev;Santa Cruz de Tenerife, Spain;0;12;0;C#
fgardos;Valencia - Spain;1;12;0;HTML and R
leandrohdez;Madrid, Spain;0;12;0;PHP and JavaScript
rpharrison;Spain;5;12;2;JavaScript
MiguelArenas;Madrid (Spain);0;12;7;Brainfuck
urco;Spain;0;12;1;JavaScript
oxgiraldo;Madrid, Spain;1;12;0;
systemocracy;Spain;0;12;0;R
11joselu;Spain;0;12;0;CSS and JavaScript
germanmg;Madrid (Spain);1;12;0;
emilopezcano;Spain;2;12;0;R
Dade88;Canary Islands, Spain;0;12;0;JavaScript
elliotmoso;Spain;1;12;0;CSS
mpbravo;Madrid, Spain;0;12;0;Shell
AlbertoLeon;Valencia, Spain;3;12;0;C#
AlejandroAbad;Spain;1;12;0;C
jbozanowski;Barcelona, Spain;3;12;0;Python
s2oBCN;Spain;0;12;0;Java
neotic82;Spain;1;12;0;JavaScript
Scorpyo82;Spain;1;12;0;Shell and Java
EduAlberdi;Barcelona;6;12;0;CSS
wefner;Barcelona;0;12;0;Python
hugopibernat;London/Barcelona;0;12;0;HTML
pmphp;Barcelona, Spain;16;12;24;JavaScript
ismaelresp;Barcelona, Spain;0;12;0;
tatygrassini;Barcelona;6;12;43;JavaScript
ivannpaz;Barcelona;8;12;6;PHP
marotpam;Barcelona;2;12;0;Python and JavaScript
mariocav;Barcelona, Catalonia, Spain;3;12;2;Makefile
raohmaru;Cornellà de Llobregat (Barcelona);2;12;8;ActionScript
rajmeenacse;Tokyo/Barcelona;2;12;0;Ruby
etrulls;Barcelona, Spain;2;12;3;C
jezuhke;Barcelona;0;12;0;Python
acangros;Barcelona;0;12;0;
aribeiroc;Barcelona;0;12;0;Python
ivanaldavert;Barcelona;1;12;0;JavaScript
sisqbates;Barcelona;0;12;0;Groovy
marco-mariotti;Barcelona, Spain;0;12;0;Python
adriagil;Barcelona;6;12;0;JavaScript
santiperez;Barcelona;6;12;0;JavaScript
avillasenorh;Barcelona, Spain;0;12;0;C
Rutrus;Spain;2;12;2;PHP
eyp;Madrid/Spain;2;12;54;JavaScript
eduglez;Spain;0;12;1;Java
jcllorente;Alcobendas (Madrid) - Spain;0;12;0;R
jovimarti;Alicante;0;12;1;Ruby
SrJosue1;Alicante;1;12;0;HTML
Planelles20;Alicante, Spain;2;12;0;Python
drmateo;Elche (Alicante);2;12;0;C++
rafaelbartolome;Spain;8;12;0;Objective-C
victorpimentel;Madrid, Spain;64;12;473;Objective-C
e2molin;Madrid - Spain;0;12;0;PHP
jvrlag;Madrid;2;12;1;C++ and C
FuenRob;Madrid;0;12;0;JavaScript
versvs;Madrid / Málaga;6;12;11;JavaScript
EduardoGarrido90;Madrid;0;12;1;Python
Sgitario;Málaga;0;12;1;Java
kartojal;Málaga, Spain;0;12;0;ApacheConf and Shell
x3sp3d3s;Girona;0;12;1;
jromerog;Madrid;0;12;0;JavaScript and CSS
jaqm;Madrid (Spain);2;12;0;Shell
aruizs;Spain;0;12;0;R
fenomenog4;Granada;1;12;13;Ruby
eeziSL;Malaga;0;12;0;PHP
MxMCube;Tenerife;0;12;0;CSS
zoltyvigo;Vigo;0;12;0;
alexperezalonso;Madrid, Spain;2;12;0;C# and XML
jgnoya;Madrid, Spain;0;12;0;R
franciscogarate;Madrid, Spain;2;12;2;Python
tauheeddel;Toledo;0;12;0;C
oriolmangas;Spain;0;12;2;PHP
markbran;A Coruña;4;12;0;HTML
obendi;Barcelona;0;12;0;JavaScript and PHP
Rafael-Caro;Barcelona;0;12;0;Python and R
andreasnaive;Madrid, Spain;1;12;0;
joseEnrique;Seville;0;12;0;Python
antacerod;Sevilla;0;12;0;Groovy
Jose-Luis;Sevilla;0;12;0;C++
acanza;Spain;1;12;0;PHP and CSS
lluisgh28;Barcelona;6;12;2;Objective-C
davidgit;Barcelona, Catalonia;19;12;13;Python
TwisterMW;Terrassa, Barcelona, Spain;1;11;5;JavaScript
jruizcar;Granollers-Barcelona-Spain;0;11;0;Java
frandevel;Valencia;1;11;0;
PabloAlbiol;Valencia;0;11;1;C++
wchemi;Torrent city in Valencia (Spain);0;11;1;PHP and CSS
paxturando;Valencia;0;11;0;CSS
hecspc;Barcelona, Spain;14;11;58;Ruby
guillaumeparis2000;Barcelona;2;11;1;JavaScript
jmsallan;Terrassa - Barcelona;0;11;0;R
jaumerq;Barcelona;1;11;2;Python and Shell
DaniUPC;Barcelona, Catalunya;0;11;0;Java
macram;Cáceres;2;11;0;Java
dracinternet;Barcelona;6;11;1;Swift
SamuAlfageme;Valladolid, Spain;0;11;0;Python and Shell
jesusropi;Coruña;2;11;0;JavaScript
iz3info;Barcelona;0;11;0;
lucas-ez;Barcelona;2;11;0;Python
jcorrius;Barcelona;2;11;3;Shell
emmgfx;Barcelona;2;11;3;JavaScript
santihbc;Barcelona, Spain;8;11;15;JavaScript
javi-moralesf;Barcelona;1;11;1;JavaScript
fsans;Barcelona (Spain);2;11;4;ActionScript
juanpablironhack;Barcelona;4;11;1;Ruby
joherma1;Valencia;0;11;1;JavaScript
jestevesoler;Valencia;0;11;0;CSS
JvrBaena;Sevilla;17;11;24;JavaScript
wjax;Seville;0;11;1;C
Bradox;Sevilla;0;11;3;Ruby
ST2Labs;Cordoba (Spain);0;11;1;Python
sergiogomez;Córdoba;3;11;21;Ruby
Termeni;Lleida;4;11;0;Java
Inakimalerba;Córdoba, Arg;0;11;0;C
rogerlyon;Villa del rosario - Cordoba;0;11;0;
dreamingechoes;Gijón;4;11;0;
sankosk;Asturias;2;11;0;CSS
JairoLopez;Mieres, Asturias;2;11;0;
sergiosimbiosys;Gijón, Asturias Spain;0;11;0;
emiliofidalgo;Palma de Mallorca;1;11;0;C
miguel-moya;Palma de Mallorca;0;11;0;CSS
carlitosmarin;Palma de Mallorca;1;11;4;Java
JoseBR;Palma de Mallorca;2;11;0;Java
mberasategi;Donostia;0;11;2;R
FdezRomero;Madrid, Spain;4;11;0;JavaScript
midispositivomidi;Spain;1;11;0;Arduino
ielizaga;Spain;1;11;0;JavaScript and Java
ferdima;Madrid;1;11;0;R and TeX
macaballero;Madrid, Spain.;0;11;0;C
enrigle;Madrid;0;11;0;R
niceperl;Spain;1;11;0;Perl
rhuelga;Málaga, Spain;0;11;10;C++
Dekadencee;España;19;11;6;Shell
kuhlin;Madrid;0;11;0;PHP
jorgehv;Madrid;0;11;0;JavaScript and Emacs Lisp
PabRod;Madrid;1;11;0;R
amaia;Madrid;45;11;144;Ruby
gotardo;Madrid;6;11;9;PHP
juallom;Altea, Alicante;1;11;0;CSS
bristoll;España,Granada/Las Palmas G.C.;0;11;1;PHP
radikalbytes;Vigo, Spain;6;11;11;C
nicowernli;Madrid, Spain;1;11;1;PHP and Go
javibm;España;1;11;0;C#
diazwatson;Spain;0;11;0;PHP
arolphp;Madrid;0;11;2;PHP
leforthomas;Madrid;1;11;20;JavaScript and CSS
MuDestructor;Zaragoza;1;11;6;Ruby
vgsystems;España, Zaragoza;0;11;0;PHP
eduardolostal;Zaragoza;0;11;1;Python
TheAIR20;Santander;0;11;0;Java
anthonyjba;Madrid;0;11;0;JavaScript
trapazza;Madrid;0;11;0;C# and Visual Basic
hugosantosred;Madrid, Spain;8;11;17;Ruby
gasparSanchez;España;2;11;0;R
spolex;Derio, Bizkaia, Euskal Herria;3;11;0;Java
aritzolaba;Bilbao;1;11;35;CSS
tapia;Madrid;4;11;2;Python
SoftwArte;Spain;0;11;0;C#
Juanpe;Madrid;5;11;35;Objective-C and Ruby
jmsanchez;Madrid;0;11;1;
MiquelNieto;Barcelona;0;11;0;Python
gmodica;Madrid, Spain;0;11;0;C#
josemarialopez;Madrid;0;11;0;Ruby
kas84;Madrid;0;11;7;Objective-C
romanrdgz;Madrid, Spain;0;11;0;
xharekx33;Madrid, Spain;0;11;0;JavaScript and CSS
fauria;Madrid;2;11;21;JavaScript
jsmartcano;Madrid;0;11;0;C#
territoriocreativo;Madrid, Barcelona, Bogotá.;0;11;0;JavaScript and Ruby
erfg;Madrid;2;11;0;Perl
bndF1;Spain;0;11;0;Java
kraduddev;Spain;0;11;0;CSS and JavaScript
danigt91;Spain;0;11;0;Java and Visual Basic
ddellaquila;Spain;6;11;16;Python
debuti;Spain;0;11;2;Python
famassucci;Tarragona, Spain;1;11;0;Python
polerokfi;Spain;0;11;0;Java
midesweb;Spain;54;11;14;JavaScript
valllllll2000;spain;0;11;0;Java
baenafrancisco;Málaga (Spain);21;11;3;Python
Myugen;Santa Cruz de Tenerife, Spain;2;11;2;JavaScript
gerddie;Madrid, Spain;2;11;0;Shell
EloraBass;Spain;0;11;0;Java
carlos-incaser;Spain;1;11;0;Java
rubenfa;Madrid (Spain);3;11;0;C# and F#
ghilbrae;Spain;4;11;2;Python
paxku;Spain;0;11;0;R
ahdiaz;Seville, Spain;23;11;14;JavaScript
jjtorrens;España (Spain);0;11;0;CSS and JavaScript
SergioRodriguezRuiz;España;0;11;0;HTML
yaiza-bailen;Málaga (Spain);2;11;3;JavaScript and Python
TomRaftery;Seville, Spain;0;11;0;
turtulino;Burgos, Spain;1;11;1;Shell
forlayo;Murcia;2;11;2;Java
selim37th;Murcia;0;11;0;PHP
Krleza;Spain;1;11;1;PHP
cetrulin;Madrid, Spain;1;11;0;Java
josmanperez;España;0;11;0;Java and Perl
jdmartinez;Barcelona;1;11;2;CSS
Jsantive88;Barcelona;0;11;0;C++
hydex86;Barcelona, Spain;1;11;2;Objective-C
Jordira;Barcelona;0;11;0;R
ferranMazaira;Barcelona;0;11;0;
GemmaRovira;Barcelona;0;11;0;
arnauorriols;Barcelona;5;11;6;Python
eduesc;Barcelona, Spain;0;11;0;
egalles79;Barcelona;0;11;0;PHP
borjarossell;Barcelona, Spain;2;11;0;Java
iamjalal;Barcelona;0;11;0;Java
jalzaga;España;1;11;0;
martatorreajo;España;1;11;2;CSS
juancs;Spain;0;11;0;PHP
meurveng;España;1;11;0;CSS
Arcanex199;Spain;1;11;0;
Nytyr;Spain;6;11;9;Groovy
jamosa;Spain;1;11;0;Ruby
lmtanco;Málaga, Spain;0;11;1;Ruby
gry;Spain;1;11;20;Python
