login; location; followers; contributions; stars; language
JoseBlanca;Valencia, Spain;21;470;65;Python
phpbb-es;Spain;4;470;4;PHP
pecio;Madrid, Spain;1;469;2;Ruby
potray;Granada, Spain;4;468;0;JavaScript
ernestoalejo;Granada, Spain;10;467;72;JavaScript
Alotor;Madrid;23;467;17;JavaScript
Virako;Sevilla;21;466;9;Python
lrlopez;Linares (Jaén);12;465;4;PHP
ctemescw;A Coruña, Spain;8;464;7;CSS
Undergarun;Madrid, Spain;15;464;11;PHP
dkmstr;Madrid;0;464;1;Makefile
mgp25;Spain;122;463;503;PHP
changlongzj;Barcelona;2;462;0;Python
nacx;Barcelona;27;462;16;Java
emi80;Barcelona;4;460;0;CSS
raulfraile;Spain;125;459;1002;PHP
bladecoder;Córdoba, Spain;1;458;20;Shell
nhpatt;Madrid;24;456;45;Java
alexandernst;Valladolid, Spain;29;456;27;JavaScript
markbain;Barcelona, Spain;7;456;1;JavaScript
Jesus89;Madrid (Spain);8;455;0;C
malkab;Spain;1;454;0;Shell
alvarolopez;Spain;6;452;18;Python
fergunet;Granada;43;452;12;Java
palaumarc;Barcelona;1;452;0;
mudasobwa;Barcelona, Spain;5;451;38;Ruby
poliva;Barcelona;160;451;365;C
plusvic;Spain;46;451;492;CoffeeScript
logoff;Barcelona;2;451;5;Java
herminiogg;Oviedo, Asturias, Spain;4;450;0;CSS
marklar;Barcelona, España;11;449;23;Ruby
blipi;España;2;448;10;C++
josegom;Madrid;2;448;2;Java and Shell
SirArslaan;Barcelona;14;447;3;JavaScript
jesusbriales;Malaga;1;445;0;Matlab
ixti;Spain, Valencia, Benirredrà;72;444;143;Ruby
JorgeFerrer;Madrid;27;444;9;Shell
ppcano;Huelva (ES), Stockholm (SE);20;443;86;JavaScript
alu0100611298;España;6;442;0;Ruby
fpuga;Vigo. Spain;10;440;2;JavaScript
Xatpy;Madrid;2;440;3;JavaScript
rafaelaznar;Valencia, Spain;24;440;2;Java
joserobleda;Madrid;9;440;15;JavaScript
alejandrofcarrera;Madrid, Spain;6;439;16;PHP
aelena;madrid;0;439;4;C#
albarralnunez;Barcelona;10;438;5;Python
jsegura;Barcelona;14;437;4;Ruby
adolfo-rt;Barcelona, Spain;20;437;0;Python
bomberstudios;Madrid, Spain;246;436;2173;Ruby
irenesanznieto;Madrid;4;436;4;C++
antorof;Granada, Spain;4;434;3;Java
crodrigoturner;Madrid (Spain);0;433;0;JavaScript
ivoarch;Tarragona/Spain;29;433;57;Shell
exekias;Zaragoza;12;433;8;CSS
jabrena;Madrid, Spain;4;432;9;CSS
jburguete;Zaragoza, Spain;1;431;3;C
